Title,Setting,Platform ( s ),Developer,Release
Dungeons & Dragons Computer Fantasy Game,No specific setting,Handheld LCD,Mattel,1981
Advanced Dungeons & Dragons : Cloudy Mountain,No specific setting,Intellivision,Mattel,1982
Dungeon !,No specific setting,Apple II,"Bruce Nesmith , Keith Enge",1982
Advanced Dungeons & Dragons : Treasure of Tarmin,No specific setting,Intellivision,Tom Loughry,1982
Heroes of the Lance,Dragonlance,"Home computers , NES , Master System",U.S. Gold,1988
Dragons of Flame,Dragonlance,"Home computers , NES",U.S. Gold,1989
War of the Lance,Dragonlance,Home computers,SSI,1989
DragonStrike,Dragonlance,"Home computers , NES",Westwood Studios,1990
Shadow Sorcerer,Dragonlance,Home computers,U.S. Gold,1991
Fantasy Empires,Mystara,MS-DOS,Silicon Knights,1993
Stronghold,No specific setting,MS-DOS,Stormfront Studios,1993
Dungeons & Dragons : Tower of Doom,Mystara,"Arcade , Sega Saturn",Capcom,1993
Blood & Magic,Forgotten Realms,Windows,Tachyon Studios,1996
Birthright : The Gorgon 's Alliance,Birthright,Windows,Synergistic Software,1996
Dungeons & Dragons : Shadow over Mystara,Mystara,"Arcade , Sega Saturn",Capcom,1996
Iron & Blood : Warriors of Ravenloft,Ravenloft,"Windows , PlayStation",Take 2 Interactive,1997
Dungeons & Dragons : Dragonshard,Eberron,Windows,Liquid Entertainment,"September 21 , 2005"
Dungeons & Dragons : Arena of War,Forgotten Realms,"iOS , Android",DeNA,"October 17 , 2013"
Lords of Waterdeep,Forgotten Realms,"iOS , Android",Playdek,"November 21 , 2014"
Idle Champions of the Forgotten Realms,Forgotten Realms,"Mac , Windows",Codename Entertainment,"September 8 , 2017"
