Station Code,Station Name,Platform type,Interchange/Notes
MR1,KL Sentral,Terminus ( Spanish solution ),"Southern terminus . Accessed via NU Sentral Shopping Mall if coming from KL Sentral ( main terminal building ) . Connecting station ( requiring exiting the station 's paid area ) to : KA01 KS01 KTM Komuter Seremban Line , Port Klang Line , Skypark Link and ETS KJ15 LRT Kelana Jaya Line KE1 KT1 ERL KLIA Ekspres and KLIA Transit Additional 850 meters walking distance to SBK15 Muzium Negara for the MRT Sungai Buloh-Kajang Line"
MR2,Tun Sambanthan,Side,
MR3,Maharajalela,Side,Exit to Stadium Merdeka
MR4,Hang Tuah,Side,Interchange station to AG9 SP9 LRT Ampang and Sri Petaling Lines
MR5,Imbi,Side,Exit to Berjaya Times Square
MR6,AirAsia-Bukit Bintang,Side,Connecting station to SBK18A Bukit Bintang station on the MRT Sungai Buloh-Kajang Line . Pedestrian access to KJ10 KLCC station on LRT Kelana Jaya Line is possible via elevated walkway from Pavilion mall
MR7,Raja Chulan,Side,Pedestrian access to KJ10 KLCC station on the LRT Kelana Jaya Line is possible via elevated walkway from Pavilion mall
MR8,Bukit Nanas,Side,Connecting station to KJ12 Dang Wangi on the LRT Kelana Jaya Line
MR9,Medan Tuanku,Side,Pedestrian access to AG5 SP5 Sultan Ismail on the LRT Ampang and Sri Petaling Lines via 580 meter elevated walkway
MR10,Chow Kit,Side,
MR11,Titiwangsa,Terminus ( Spanish solution ),Northern terminus . Interchange station to AG3 SP3 LRT Ampang and Sri Petaling Lines . Future integration with SSP13 MRT Sungai Buloh-Serdang-Putrajaya Line ( 2022 )
