Year,Horse,Trainer,Owner,Age,Sex
2019,Bricks and Mortar,Chad C. Brown,Klaravich Stables and William Lawrence,5,C
2018,Justify,Bob Baffert,"China H. C. , Head of Plains Partners , Starlight Racing and WinStar Farm",3,C
2017,Gun Runner,Steve Asmussen,Winchell Thoroughbreds LLC & Three Chimneys Farm,4,C
2016,California Chrome,Art Sherman,California Chrome LLC,5,C
2015,American Pharoah,Bob Baffert,Ahmed Zayat,3,C
2014,California Chrome,Art Sherman,"Steven Coburn , Perry Martin",3,C
2013,Wise Dan,Charles LoPresti,Morton Fink,6,G
2012,Wise Dan,Charles LoPresti,Morton Fink,5,G
2011,Havre de Grace,J. Larry Jones,Fox Hill Farms,4,F
2010,Zenyatta,John Shirreffs,Jerry & Ann Moss,6,F
2009,Rachel Alexandra,Steve Asmussen,Stonestreet Stables,3,F
2008,Curlin,Steve Asmussen,Stonestreet Farm et al,4,C
2007,Curlin,Steve Asmussen,Stonestreet Farm et al,3,C
2006,Invasor,Kiaran McLaughlin,Shadwell Racing,4,C
2005,Saint Liam,"Richard E. Dutrow , Jr","M/M William K. Warren , Jr",5,C
2004,Ghostzapper,Robert J. Frankel,Frank Stronach,4,C
2003,Mineshaft,Neil J. Howard,Farish / Webber / Elkins,4,C
2002,Azeri,Laura de Seroux,Michael Paulson,4,F
2001,Point Given,Bob Baffert,The Thoroughbred Corp,3,C
2000,Tiznow,Jay M. Robbins,M. Cooper & Cecilia Straub-Rubens,3,C
