International market,Title,Director,Production country,Revenue,Admissions
France,Marche à l'ombre,Michel Blanc,France,N/A,"6,168,425"
Germany,Police Academy,Hugh Wilson,United States,N/A,"5,187,443"
Hong Kong,Aces Go Places 3,Tsui Hark,Hong Kong,"HK $ 29,286,077",N/A
India,Tohfa,K. Raghavendra Rao,India,"₹90,000,000",N/A
Italy,Indiana Jones and the Temple of Doom,Steven Spielberg,United States,N/A,"838,309"
Japan,Indiana Jones and the Temple of Doom,Steven Spielberg,United States,"¥3,200,000,000",N/A
South Korea,Project A,Jackie Chan,Hong Kong,"₩1,189,308,000","396,436"
Soviet Union,Disco Dancer,Babbar Subhash,India,"$ 75,900,000","60,900,000"
Spain,Gremlins,Joe Dante,United States,N/A,"3,202,047"
United States and Canada,Beverly Hills Cop,Martin Brest,United States,"$ 234,760,478","67,150,000"
