Team,Location,Stadium,Stadium capacity
FC Trollhättan,Trollhättan,Edsborgs IP,"5,100"
Husqvarna FF,Huskvarna,Vapenvallen,"4,000"
IF Limhamn Bunkeflo,Malmö,Limhamns IP,"2,800"
IF Sylvia,Norrköping,Idrottsparken,"17,200"
IK Oddevold,Uddevalla,Rimnersvallen,"10,600"
IS Halmia,Halmstad,Örjans Vall,"15,500"
Karlstad BK,Karlstad,Tingvalla IP,"10,000"
Kristianstads FF,Kristianstad,Kristianstads IP,"6,000"
Lunds BK,Lund,Klostergårdens IP,"8,560"
Qviding FIF,Gothenburg,Valhalla IP,"4,000"
Skövde AIK,Skövde,Södermalms IP,"4,646"
Torslanda IK,Torslanda,Torslandavallen,"1,500"
Trelleborgs FF,Trelleborg,Vångavallen,"10,000"
Utsiktens BK,Gothenburg,Ruddalens IP,"5,000"
