Name,Institution,Sport,Inducted
Adrian Peterson,Georgia Southern,Football,2009
Angie Barker,East Tennessee State,Track & Field,2012
Armanti Edwards,Appalachian State,Football,2016
Arnold Palmer,Wake Forest,Golf,2009
Banks McFadden,Clemson,Football and Basketball,2010
Brad Faxon,Furman,Golf,2016
Charlie Justice,North Carolina,Football,2009
Charlie Teague,Wake Forest,Baseball,2014
Clint Dempsey,Furman,Soccer,2014
Dexter Coakley,Appalachian State,Football,2011
Dick Groat,Duke,Baseball and Basketball,2009
Dick Modzelewski,Maryland,Football,2012
Eddie Cameron,Duke,Basketball and Football,2014
Everett Case,North Carolina State,Basketball,2010
Frank Selvy,Furman,Basketball,2009
Fred Hetzel,Davidson,Basketball,2010
J. Dallas Shirley,George Washington,Basketball,2010
Jerry Moore,Appalachian State,Football,2014
Jerry West,West Virginia,Basketball,2009
Jim Burch,-,Special Contributor,2012
