Club,City,Stadium,Capacity
AlbinoLeffe,Albino and Leffe,Atleti Azzurri d'Italia ( Bergamo ),"21,300"
Fano,Fano,Raffaele Mancini,"8,800"
FeralpiSalò,Salò,Lino Turina,"2,500"
Fermana,Fermo,Bruno Recchioni,"9,500"
Giana Erminio,Gorgonzola,Città di Gorgonzola,"3,766"
Gubbio,Gubbio,Pietro Barbetti,"5,300"
Imolese,Imola,Romeo Galli,"4,000"
L.R . Vicenza,Vicenza,Romeo Menti,"12,000"
Monza,Monza,Brianteo,"18,568"
Pordenone,Pordenone,Ottavio Bottecchia,"3,000"
Ravenna,Ravenna,Bruno Benelli,"12,020"
Renate,Renate,Città di Meda ( Meda ),"3,000"
Rimini,Rimini,Romeo Neri,"7,442"
Sambenedettese,San Benedetto del Tronto,Riviera delle Palme,"14,995"
Südtirol,Bolzano / Bozen,Druso,"3,500"
Teramo,Teramo,Gaetano Bonolis,"7,498"
Ternana,Terni,Libero Liberati,"17,460"
Triestina,Trieste,Nereo Rocco,"32,454"
Virtus Verona,Verona,Gavagnin Nocini,"1,200"
Vis Pesaro,Pesaro,Tonino Benelli,"4,898"
