Club,Winners,Runners-up,Winning seasons
River Plate,36,33,"1920 AAmF , 1932 LAF , 1936 ( Copa Campeonato ) , 1936 ( Copa de Oro ) , 1937 , 1941 , 1942 , 1945 , 1947 , 1952 , 1953 , 1955 , 1956 , 1957 , 1975 Metropolitano , 1975 Nacional , 1977 Metropolitano , 1979 Metropolitano , 1979 Nacional , 1980 Metropolitano , 1981 Nacional , 1985-86 , 1989-90 , 1991 Apertura , 1993 Apertura , 1994 Apertura , 1996 Apertura , 1997 Apertura , 1997 Clausura , 1999 Apertura , 2000 Clausura , 2002 Clausura , 2003 Clausura , 2004 Clausura , 2008 Clausura , 2014 Final"
Boca Juniors,33,22,"1919 , 1920 , 1923 , 1924 , 1926 , 1930 , 1931 LAF , 1934 LAF , 1935 , 1940 , 1943 , 1944 , 1954 , 1962 , 1964 , 1965 , 1969 Nacional , 1970 Nacional , 1976 Metropolitano , 1976 Nacional , 1981 Metropolitano , 1992 Apertura , 1998 Apertura , 1999 Clausura , 2000 Apertura , 2003 Apertura , 2005 Apertura , 2006 Clausura , 2008 Apertura , 2011 Apertura , 2015 , 2016-17 , 2017-18"
Racing,18,8,"1913 , 1914 , 1915 , 1916 , 1917 , 1918 , 1919 AAmF , 1921 AAmF , 1925 AAmF , 1949 , 1950 , 1951 , 1958 , 1961 , 1966 , 2001 Apertura , 2014 Transición , 2018-19"
Independiente,16,16,"1922 AAmF , 1926 AAmF , 1938 , 1939 , 1948 , 1960 , 1963 , 1967 Nacional , 1970 Metropolitano , 1971 Metropolitano , 1977 Nacional , 1978 Nacional , 1983 Metropolitano , 1988-1989 , 1994 Clausura , 2002 Apertura"
San Lorenzo,15,16,"1923 AAmF , 1924 AAmF , 1927 , 1933 LAF , 1936 ( Copa de Honor ) , 1946 , 1959 , 1968 Metropolitano , 1972 Metropolitano , 1972 Nacional , 1974 Nacional , 1995 Clausura , 2001 Clausura , 2007 Clausura , 2013 Inicial"
Vélez Sarsfield,10,9,"1968 Nacional , 1993 Clausura , 1995 Apertura , 1996 Clausura , 1998 Clausura , 2005 Clausura , 2009 Clausura , 2011 Clausura , 2012 Inicial , 2012-13 Superfinal"
Alumni,10,2,"1900 , 1901 , 1902 , 1903 , 1905 , 1906 , 1907 , 1909 , 1910 , 1911"
Estudiantes ( La Plata ),6,7,"1913 FAF , 1967 Metropolitano , 1982 Metropolitano , 1983 Nacional , 2006 Apertura , 2010 Apertura"
Newell 's Old Boys,6,5,"1974 Metropolitano , 1987-88 , 1990-91 , 1992 Clausura , 2004 Apertura , 2013 Final"
Huracán,5,8,"1921 , 1922 , 1925 , 1928 , 1973 Metropolitano"
Lomas,5,2,"1893 , 1894 , 1895 , 1897 , 1898"
Rosario Central,4,4,"1971 Nacional , 1973 Nacional , 1980 Nacional , 1986-87"
Belgrano Athletic,3,3,"1899 , 1904 , 1908"
Argentinos Juniors,3,2,"1984 Metropolitano , 1985 Nacional , 2010 Clausura"
Lanús,2,5,"2007 Apertura , 2016"
Ferro Carril Oeste,2,3,"1982 Nacional , 1984 Nacional"
Porteño,2,2,"1912 FAF , 1914 FAF"
Quilmes,2,1,"1912 , 1978 Metropolitano"
Estudiantil Porteño,2,-,"1931 , 1934"
Gimnasia y Esgrima ( LP ),1,6,1929
