Draft,Round,Pick,Player,Nationality,Pos
1963,1,4,Al Osborne,Canada,RW
1963,2,10,Terry Jones,Canada,C
1963,3,15,Mike Cummins,Canada,F
1963,4,20,Cam Allison,Canada,D
1964,1,3,Bob Graham,Canada,D
1964,2,9,Tim Ecclestone,Canada,RW
1964,3,15,Gordon Lowe,Canada,D
1964,4,21,Syl Apps,Canada,C
1965,1,1,Andre Veilleux,Canada,RW
1965,2,6,George Surmay,Canada,G
1965,3,10,Michel Parizeau,Canada,LW
1966,1,2,Brad Park,Canada,D
1966,2,8,Joey Johnston,Canada,LW
1966,3,14,Don Luce,Canada,C
1966,4,20,Jack Egers,Canada,RW
1967,1,6,Bob Dickson,Canada,LW
1967,2,15,Brian Tosh,Canada,D
1968,2,19,Barry Buchanan,Canada,D
1969,1,8,Andre Dupont,Canada,D
1969,1,12,Pierre Jarry,Canada,LW
