Year,Title,Role
1980,Why Would I Lie ?,Jorge
1998,The Object of My Affection,Steve Casillo
1998,The Adventures of Sebastian Cole,Troy
1999,Simply Irresistible,Charlie
2000,The Bookie 's Lament,Mickey
2000,101 Ways ( The Things a Girl Will Do to Keep Her Volvo ),Dirk
2001,American Outlaws,Frank James
2001,Behind Enemy Lines,Naval Aviator Lt. Jeremy Stackhouse
2002,Bad Company,Officer Seale
2003,The Recruit,Zack
2003,Grand Theft Parsons,Gram Parsons
2004,A Love Song for Bobby Long,Lawson Pines
2006,The Good Shepherd,John Russell Jr
2007,Because I Said So,Johnny Dresden
2008,The Spirit,Denny Colt/The Spirit
2009,Middle Men,Buck Dolby
2009,Whiteout,Robert Pryce
2009,One Way to Valhalla,Bo Durant
2010,Love & Other Drugs,Trey Hannigan
2011,S.W.A.T . : Firefight,Paul Cutler
