#,Song,Artist,Country of origin
1,Thrift Shop,Macklemore and Ryan Lewis featuring Wanz,United States
2,Little Talks,Of Monsters and Men,Iceland
3,Breezeblocks,alt-J,United Kingdom
4,Holdin On,Flume,Australia
5,I Will Wait,Mumford & Sons,United Kingdom
6,Get Free,Major Lazer featuring Amber Coffman,United States
7,Elephant,Tame Impala,Australia
8,Lost,Frank Ocean,United States
9,Feels Like We Only Go Backwards,Tame Impala,Australia
10,My Gun,The Rubens,Australia
11,Sweet Nothing,Calvin Harris featuring Florence Welch,United Kingdom
12,Sleepless,Flume featuring Jezzabell Doran,Australia
13,Gold on the Ceiling,The Black Keys,United States
14,I Love It,Icona Pop featuring Charli XCX,Sweden and United Kingdom
15,Same Love,Macklemore and Ryan Lewis featuring Mary Lambert,United States
16,Not Giving In,Rudimental featuring John Newman and Alex Clare,United Kingdom
17,Clair de Lune,Flight Facilities featuring Christine Hoberg,Australia and United States
18,HyperParadise ( Flume Remix ),Hermitude,Australia
19,Angels,The xx,United Kingdom
20,Feel the Love,Rudimental featuring John Newman,United Kingdom
