Player,Pos,Nationality,Previous team,Years of NBA experience,Career with the franchise
Dennis Awtrey,C,United States,Chicago Bulls,4,-
Jim Barnett,G/F,United States,Golden State Warriors,8,1974-1975
Walt Bellamy,C,United States,Atlanta Hawks,13,1974
John Block,F/C,United States,Kansas City-Omaha Kings,8,1974
Barry Clemens,F,United States,Cleveland Cavaliers,9,-
E. C. Coleman,F,United States,Houston Rockets,1,1974 - 1977
Lamar Green,F/C,United States,Phoenix Suns,5,1974
Nate Hawthorne,G,United States,Los Angeles Lakers,1,-
Ollie Johnson,F,United States,Portland Trail Blazers,2,1974-1975
Bob Kauffman,F/C,United States,Buffalo Braves,6,-
Toby Kimball,F/C,United States,Philadelphia 76ers,8,1974
Steve Kuberski,F/C,United States,Boston Celtics,5,-
Stu Lantz,G,United States,Detroit Pistons,6,1974
Dean Meminger,G,United States,New York Knicks,3,-
Louie Nelson,G,United States,Washington Bullets,1,1974 - 1976
Curtis Perry,F,United States,Milwaukee Bucks,4,-
Isaac Stallworth,G/F,United States,Seattle SuperSonics,2,1974 - 1977
