Club,Last domestic cup won,Subsequent final losses,Length of drought
Colorado Rapids,never ( club entered MLS in 1996 ),1999,24 seasons
New York Red Bulls,never ( club entered MLS in 1996 ),"2003 , 2017",24 seasons
San Jose Earthquakes,never ( club entered MLS in 1996 ),,22 seasons
Columbus Crew SC,2002 U.S. Open Cup,2010,17 seasons
Real Salt Lake,never ( club entered MLS in 2005 ),2013,15 seasons
Los Angeles Galaxy,2005 U.S. Open Cup,2006,14 seasons
Chicago Fire,2006 U.S. Open Cup,2011,13 seasons
New England Revolution,2007 U.S. Open Cup,2016,12 seasons
Philadelphia Union,never ( club entered MLS in 2010 ),"2014 , 2015 , 2018",10 seasons
Portland Timbers,never ( club entered MLS in 2011 ),,9 seasons
D.C. United,2013 U.S. Open Cup,,6 seasons
New York City FC,never ( club entered MLS in 2015 ),,5 seasons
Orlando City SC,never ( club entered MLS in 2015 ),,5 seasons
Seattle Sounders FC,2014 U.S. Open Cup,,5 seasons
Vancouver Whitecaps FC,2015 Canadian Championship,"2016 , 2018",4 seasons
FC Dallas,2016 U.S. Open Cup,,3 seasons
Minnesota United FC,never ( club entered MLS in 2017 ),2019,3 seasons
Los Angeles FC,never ( club entered MLS in 2018 ),,2 seasons
Sporting Kansas City,2017 U.S. Open Cup,,2 seasons
FC Cincinnati,never ( club entered MLS in 2019 ),,1 season
