Artist,Album title,Release date,UK peak chart position
Malachi Cush,Malachi,24 March 2003,17
David Sneddon,Seven Years - Ten Weeks,28 April 2003,5
Sinéad Quinn,Ready to Run,14 July 2003,48
Lemar,Dedicated,24 November 2003,16
Alistair Griffin,Bring It On,12 January 2004,12
Alex Parks,Introduction,24 November 2003,5
Lemar,Time to Grow,29 November 2004,8
Alex Parks,Honesty,24 October 2005,24
Lemar,The Truth About Love,11 September 2006,3
Lemar,The Reason,24 November 2008,41
Lemar,The Hits,8 March 2010,18
Lemar,Invincible,8 October 2012,49
