Player,Triples,Team,Season
Chief Wilson,36,Pittsburgh Pirates,1912
Dave Orr,31,New York Metropolitans ( AA ),1886
Heinie Reitz,31,Baltimore Orioles ( NL ),1894
Perry Werden,29,St. Louis Browns ( NL ),1894
Harry Davis,28,Pittsburgh Pirates,1897
George Davis,27,New York Giants,1893
Sam Thompson,27,Philadelphia Phillies,1894
Sam Crawford,26,Detroit Tigers,1914
Kiki Cuyler,26,Pittsburgh Pirates,1925
Joe Jackson,26,Cleveland Naps,1912
John Reilly,26,Cincinnati Reds,1890
George Treadway,26,Brooklyn Bridegrooms,1894
Roger Connor,25,New York Giants / St. Louis Browns ( NL ),1894
Sam Crawford,25,Detroit Tigers,1903
Larry Doyle,25,New York Giants,1911
Buck Freeman,25,Washington Senators ( NL ),1899
Tom Long,25,St. Louis Cardinals,1915
