Year,Player name,Position,Selector ( s )
1915,William T. Van de Graaff,T,WC-2 ; PD-1
1925,Allison Hubert,QB,NB-2
1926,Fred Pickhard,T,BE-2
1926,Hoyt Wu Winslett,End,AP-1 ; CP-2 ; NYS-2 ; BE-1 ; DW-1 ; ES-2
1929,Tony Holm,FB,AP-1 ; INS-2
1929,Fred Sington,T,AP-3 ; UP-2 ; INS-2 ; NYP-1 ; DW-2
1930,Fred Sington,T,AP-1 ; UP-1 ; CO-1 ; INS-1 ; NEA-1 ; CP-1 ; NYEP-1 ; NYS-1 ; LAT ; AAB
1930,John Suther,HB,AP-3 ; UP-3 ; INS-2 ; CP-1 ; NYEP-1
1931,Johnny Cain,FB,UP-1 ; NEA-3 ; INS-3 ; WC ; CH-2 ; AAB
1932,Johnny Cain,FB,INS-2
1933,Thomas Hupke,G,AP-2 ; UP-2 ; CO-3 ; NANA-3 ; NEA-2 ; INS-3 ; CP-1 ; WD-2
1934,Millard Dixie Howell,HB,UP-1 ; NEA-1 ; INS-1 ; NANA-1 ; CP-1 ; AP-2 ; LIB-1 ; WC-1 ; CSW-2
1934,Don Hutson,End,AP-1 ; UP-1 ; INS-1 ; LIB-1 ; NANA-2 ; NYS-1 ; WC-1 ; CSW-2
1934,Bill Lee,T,AP-1 ; LIB-1 ; NANA-1
1935,Riley Smith,QB,AP-1 ; UP-2 ; AAB-1 ; LIB-2 ; COL-1 ; NEA-1 ; INS-1 ; NANA-2 ; CP-2 ; NYS-1 ; WC-1 ; KCS-2
1936,James L. Nesbit,FB,CP-1
1936,Art White,G,AP-2 ; CP-1
1937,Joe Kilgrow,HB,UP-2 ; INS-1 ; CP-2
1937,Leroy Monsky,G,AP-1 ; UP-2 ; COL-1 ; INS-2 ; CP-2 ; WC-1
1937,James Ryba,T,INS-3 ; CP-1
