Date,Guest Co-Host,Guests/Segments
March 1,Dan Abrams,"Don Cheadle , Ben McKenzie , 5-Minute Mug Cake"
March 2,Dan Abrams,"Anjelica Huston , Donnie Wahlberg"
March 5,Nick Lachey,"Kristin Davis , Alison Sweeney , Spring Cleaning Week - Kristin Van Ogtrop , A Big Announcement"
March 6,Nick Lachey,"Fran Drescher , Chris Paul , Spring Cleaning Week - Stephen Fanuka"
March 7,Pat Kiernan,"Willem Dafoe , Leslie Bibb , Spring Cleaning Week - Carley Roney"
March 8,Martin Short,"Ewan McGregor , Spring Cleaning Week - Katie Brown"
March 9,Martin Short,"Kathy Bates , Big Time Rush , Spring Cleaning Week - Viewer Tips"
March 12,Kyle MacLachlan,"Nicole Richie , Cee Lo Green , Jeremy Rosado"
March 13,Mark Consuelos,"Will Ferrell , Elle Macpherson , Lindzi Cox , Mark in I Hate My Teenage Daughter"
March 14,Michael Strahan,"Susan Sarandon , Jeremy Sisto"
March 15,Michael Strahan,"Ashley Judd , Whitney Cummings"
March 16,Michael Strahan,"John Larroquette , Mary McCormack"
March 19,Nick Lachey,"Ice Cube , Joan Collins , Jennifer Goldstein"
March 26,Jerry O'Connell,"Kate Winslet , Lily Collins"
