Constituency,Winner,Party,Runner-up,Party
Madras,T. T. Krishnamachari,INC,Balasubramanya MDR,JUSP
Thiruvallur,Maragatham Chandrasekhar P. Natesan,INC,Guruswami Sarojini Rajah,IND KMPP
Chengalpattu,O. V. Alagesan,INC,A. R. L. Pathy,KMPP
Kancheepuram,A. Krishnaswami,CWL,T. Chengalvarayan,INC
Vellore,M. Muthukrishnan Ramachandar,INC CWL,N. S. Varadachari Muhammad Anwar,INC IND
Vandavasi,Munusami,CWL,Ramachandra Reddy,INC
Krishnagiri,C. R. Narasimhan,INC,C. Doraisami Gounder,IND
Dharmapuri,N. Satyanathan,IND,K. Subramanian,INC
Salem,S. V. Ramaswami,INC,S. Duraikannu Pillai,IND
Erode,Balakrishnan Periasami Gounder,INC INC,Kesavlal Jalidas Jait Pasupathi,IND SP
Tiruchengode,S. K. Baby,IND,P. Subbarayan,INC
Tiruppur,T. S. Avinashilingam Chettiar,INC,Venkatachalam,IND
Pollachi,Damodaran,INC,Krishnabai Nimbkar Vasudev,SP
Pudukkottai,K. M. Vallatharasu,KMPP,V. Ramaiah Servai,INC
Perambalur,V. Boorarangaswami Padayachi,TNT,R. Krishnaswami Reddiar,INC
Tiruchirappalli,E. Mathuram,IND,N. Halasyam,INC
Thanjavur,R. Venkataraman,INC,R. Srinivasa Sharma,IND
Kumbakonam,C. Ramaswamy Mudaliar,INC,Ramaiah,IND
Mayuram,K. Ananda Nambiar K. Santhanam,CPI INC,V. Veeraswami R.Subramaniam,INC CPI
Cuddalore,Govindasamy Kachirayar Kanakasabai,TNT INC,L. Elayaperumal N. Rajangan,INC TNT
