Name,Clubs,Titles,Years,Best event ( titles )
Anders Holmertz,"Motala SS , Spårvägens SF",39,1984-1996,13 400 m freestyle ( 13 )
Therese Alshammar,"Järfälla SS , SK Neptun",34,1993-2007,"09 50 m freestyle , 50 m backstroke ( both 9 )"
Arne Borg,Stockholms KK,30,1919-1929,09 500 m freestyle ( 9 )
Lars Frölander,"Borlänge SS , Sundsvalls SS , Linköpings ASS",27,1993-2007,10 100 m butterfly ( 10 )
Robert Andersson,Stockholms KK,24,1906-1919,"05 200 m freestyle , 500 m freestyle ( both 5 )"
Björn Borg,Norrköpings KK,23,1936-1944,06 400 m freestyle ( 6 )
Gunnar Larsson,Malmö SS,21,1967-1973,"05 400 m freestyle , 200 m IM ( both 5 )"
Michael Jacobsson,Täby Sim,21,1997-2003,07 400 m IM ( 7 )
Per-Olof Östrand,"Hofors AIF , IF Elfsborg",21,1947-1955,09 400 m freestyle ( 9 )
Thor Henning,SK Neptun,21,1911-1921,"06 200 m breaststroke , 400 m breaststroke ( both 6 )"
Per-Olof Olsson,SoIK Hellas,20,1937-1949,11 100 m freestyle ( 11 )
Martin Gustavsson,Malmö KK,19,2002-2006,"07 100 m breaststroke , 200 m breaststroke ( both 7 )"
John Rothman,Stockholms KK,19,1937-1949,11 200 m breaststroke ( 11 )
Thomas Lejdström,Västerås SS,18,1979-1987,"04 400 m freestyle , 400 m IM ( both 4 )"
Jan Bidrman,Malmö KK,17,1986-1992,06 400 m IM ( 6 )
Anita Zarnowiecki,Simavdelningen 1902,17,1969-1975,06 400 m IM ( 6 )
Josefin Lillhage,Väsby SS,16,2001-2007,07 200 m freestyle ( 7 )
Agneta Eriksson,Västerås SS,16,1979-1987,06 100 m butterfly ( 6 )
Sara Nordenstam,Väsby SS,15,1998-2003,06 400 m IM ( 6 )
Wilhelm Andersson,SK Neptun,15,1909-1918,05 500 m freestyle ( 5 )
