Team,Location,Arena,Capacity,Manager
Alta,Alta,Finnmarkshallen,"3,000",Aasmund Bjørkan
Bodø/Glimt,Bodø,Aspmyra Stadion,"7,354",Kåre Ingebrigtsen
Bryne,Bryne,Bryne Stadion,"10,000",Tommy Bergersen
Follo,Ski,Ski Stadion,"2,500",Hans Erik Eriksen
Fredrikstad,Fredrikstad,Fredrikstad Stadion,"12,560",Tom Freddy Aune
Løv-Ham,Bergen,Varden Amfi,"1,000",Arne Sandstø
Mjøndalen,Mjøndalen,Nedre Eiker Stadion,"2,600",Vegard Hansen
Moss,Moss,Melløs Stadion,"3,085",Erik Holtan
Nybergsund-Trysil,Trysil,Nybergsund Stadion,"1,500",Ola Brenden
Ranheim,Ranheim,DnB NOR Arena,"1,000",Per Joar Hansen
Sandnes Ulf,Sandnes,Sandnes Idrettspark,"3,850",Asle Andersen
Sarpsborg 08,Sarpsborg,Sarpsborg Stadion,"5,500",Roar Johansen
Sogndal,Sogndal,Fosshaugane Campus,"5,402",Harald Aabrekk
Strømmen,Strømmen,Strømmen Stadion,"1,800",Petter Myhre Thomas Berntsen
Tromsdalen,Tromsø,Tromsdalen Stadion,"3,000",Morten Pedersen
