Pos,No,Driver,Constructor,Time,Gap
1,3,Jacques Villeneuve,Williams - Renault,1:16.004,
2,5,Michael Schumacher,Ferrari,1:16.594,+0.590
3,8,Gerhard Berger,Benetton - Renault,1:16.644,+0.640
4,9,Mika Häkkinen,McLaren - Mercedes,1:16.692,+0.688
5,14,Olivier Panis,Prost - Mugen-Honda,1:16.756,+0.752
6,7,Jean Alesi,Benetton - Renault,1:16.757,+0.753
7,12,Giancarlo Fisichella,Jordan - Peugeot,1:16.912,+0.908
8,4,Heinz-Harald Frentzen,Williams - Renault,1:16.971,+0.967
9,1,Damon Hill,Arrows - Yamaha,1:17.090,+1.086
10,11,Ralf Schumacher,Jordan - Peugeot,1:17.175,+1.171
11,22,Rubens Barrichello,Stewart - Ford,1:17.259,+1.255
12,10,David Coulthard,McLaren - Mercedes,1:17.262,+1.258
13,16,Johnny Herbert,Sauber - Petronas,1:17.409,+1.405
14,6,Eddie Irvine,Ferrari,1:17.527,+1.523
15,15,Shinji Nakano,Prost - Mugen-Honda,1:17.999,+1.995
16,2,Pedro Diniz,Arrows - Yamaha,1:18.095,+2.091
17,21,Jarno Trulli,Minardi - Hart,1:18.336,+2.332
18,20,Ukyo Katayama,Minardi - Hart,1:18.557,+2.553
19,17,Nicola Larini,Sauber - Petronas,1:18.644,+2.640
20,23,Jan Magnussen,Stewart - Ford,1:18.773,+2.769
