Country,Races held,Total
Argentina,"Argentine Grand Prix ( 1953-1958 , 1960 , 1972-1975 , 1977-1981 , 1995-1998 )",20
Australia,Australian Grand Prix ( 1985-2019 ),35
Austria,"Austrian Grand Prix ( 1964 , 1970-1987 , 1997-2003 , 2014-2019 )",32
Azerbaijan,"European Grand Prix , 1 ( 2016 ) Azerbaijan Grand Prix , 3 ( 2017-2019 )",4
Bahrain,"Bahrain Grand Prix ( 2004-2010 , 2012-2019 )",15
Belgium,"Belgian Grand Prix ( 1950-1956 , 1958 , 1960-1968 , 1970 , 1972-2002 , 2004-2005 , 2007-2019 )",64
Brazil,Brazilian Grand Prix ( 1973-2019 ),47
Canada,"Canadian Grand Prix ( 1967-1974 , 1976-1986 , 1988-2008 , 2010-2019 )",50
China,Chinese Grand Prix ( 2004-2019 ),16
France,"French Grand Prix , 60 ( 1950-1954 , 1956-2008 , 2018-2019 ) Swiss Grand Prix , 1 ( 1982 )",61
Germany,"German Grand Prix , 64 ( 1951-1954 , 1956-1959 , 1961-2006 , 2008-2014 , 2016 , 2018-2019 ) European Grand Prix , 12 ( 1984 , 1995-1996 , 1999-2007 ) Luxembourg Grand Prix , 2 ( 1997-1998 )",78
Hungary,Hungarian Grand Prix ( 1986-2019 ),34
India,Indian Grand Prix ( 2011-2013 ),3
Italy,"Italian Grand Prix , 70 ( 1950-2019 ) Pescara Grand Prix , 1 ( 1957 ) San Marino Grand Prix , 26 ( 1981-2006 )",97
Japan,"Japanese Grand Prix , 35 ( 1976-1977 , 1987-2019 ) Pacific Grand Prix , 2 ( 1994-1995 )",37
Malaysia,Malaysian Grand Prix ( 1999-2017 ),19
Mexico,"Mexican Grand Prix ( 1963-1970 , 1986-1992 , 2015-2019 )",20
Monaco,"Monaco Grand Prix ( 1950 , 1955-2019 )",66
Morocco,Moroccan Grand Prix ( 1958 ),1
Netherlands,"Dutch Grand Prix ( 1952-1953 , 1955 , 1958-1971 , 1973-1985 )",30
