Region,Rnd,Host,Venue,City,State
East,1,University of Miami,Knight Sports Complex,Coral Gables,Florida
East,1,Bowling Green State University,Anderson Arena,Bowling Green,Ohio
East,1,Georgetown University,McDonough Gymnasium,Washington,District of Columbia
East,1,University of Vermont,Patrick Gym,Burlington,Vermont
East,2,Western Kentucky University,E.A . Diddle Arena,Bowling Green,Kentucky
East,2,Pennsylvania State University,Recreation Building ( Rec Hall ),University Park,Pennsylvania
East,2,Ohio State University,St. John Arena,Columbus,Ohio
East,2,University of Virginia,University Hall ( University of Virginia ),Charlottesville,Virginia
Mideast,1,Northwestern University,Welsh-Ryan Arena,Evanston,Illinois
Mideast,1,Old Dominion University,Old Dominion University Fieldhouse,Norfolk,Virginia
Mideast,1,University of Alabama,Coleman Coliseum,Tuscaloosa,Alabama
Mideast,1,University of Connecticut,Harry A. Gampel Pavilion,Storrs,Connecticut
Mideast,2,Old Dominion University,Old Dominion University Fieldhouse,Norfolk,Virginia
Mideast,2,University of North Carolina,Carmichael Auditorium,Chapel Hill,North Carolina
Mideast,2,University of Tennessee,Thompson-Boling Arena,Knoxville,Tennessee
Mideast,2,Auburn University,Memorial Coliseum ( Beard-Eaves-Memorial Coliseum ),Auburn,Alabama
Midwest,1,University of Kansas,Allen Field House,Lawrence,Kansas
Midwest,1,Clemson University,Littlejohn Coliseum,Clemson,South Carolina
Midwest,1,Missouri State University,Hammons Student Center,Springfield,Missouri
Midwest,1,Louisiana Tech University,Thomas Assembly Center,Ruston,Louisiana
