Postcode district,Post town,Coverage,Local authority area
TR1,TRURO,Truro,Cornwall Council
TR2,TRURO,"Truro , Gerrans , Probus , St Mawes , Tregony , Veryan",Cornwall Council
TR3,TRURO,"Truro , Perranwell Station , Feock , Playing Place , Ponsanooth",Cornwall Council
TR4,TRURO,"Blackwater , Frogpool , Goonhavern , Trispen",Cornwall Council
TR5,ST. AGNES,"St Agnes , Mithian",Cornwall Council
TR6,PERRANPORTH,"Perranporth , Bolingey , Perrancoombe",Cornwall Council
TR7,NEWQUAY,Newquay,Cornwall Council
TR8,NEWQUAY,"Mitchell , Quintrell Downs",Cornwall Council
TR9,ST. COLUMB,St Columb Major,Cornwall Council
TR10,PENRYN,Penryn,Cornwall Council
TR11,FALMOUTH,"Falmouth , Flushing , Mylor Bridge , Constantine , Mawnan Smith",Cornwall Council
TR12,HELSTON,"Helston , Mullion",Cornwall Council
TR13,HELSTON,Helston,Cornwall Council
TR14,CAMBORNE,Camborne,Cornwall Council
TR15,REDRUTH,"Redruth , Pool",Cornwall Council
TR16,REDRUTH,"Lanner , Carharrack , Gwennap , St Day , Portreath",Cornwall Council
TR17,MARAZION,Marazion,Cornwall Council
TR18,PENZANCE,Penzance,Cornwall Council
TR19,PENZANCE,"Pendeen , St Buryan",Cornwall Council
TR20,PENZANCE,"Penzance , Ludgvan",Cornwall Council
