Date,Guest Co-Host,Guests/Segments
February 1,Howie Mandel,"Jennifer Lopez , Girls ' Generation , Preview of Mobbed , Kelly 's GNO : New York Edition"
February 2,Peter Facinelli,"Michelle Williams , Nicole Polizzi & Jenni Farley , Kelly 's GNO : New York Edition"
February 3,D. L. Hughley,"Ashley Greene , Leo Laporte , Kelly 's GNO : New York Edition Recap"
February 6,Derek Hough,"Debra Messing , Atticus Shaffer , Sally Hogshead"
February 7,Michael Strahan,"Sarah Michelle Gellar , Michael Weatherly"
February 8,Michael Strahan,"Denzel Washington , Justin Tuck , Vanessa Hudgens"
February 9,Jerry O'Connell,"Ryan Reynolds , Sammi Giancola & Deena Cortese"
February 10,Jerry O'Connell,"Dwayne Johnson , Rebecca Romijn , ReallyWed vs. NearlyWed"
February 13,Randy Jackson,"Reese Witherspoon , Katharine McPhee"
February 14,Randy Jackson,"Idris Elba , Christina Perri , DC Cupcakes"
February 15,Tony Potts,"Ricky Martin & Nicki Minaj , Khloé Kardashian"
February 16,Josh Groban,"Tracy Morgan , Paul DelVecchio , Ronnie Ortiz-Magro & Vinny Guadagnino"
February 17,Josh Groban,"Nicolas Cage , Chris Byrne , Wedding Gown Shopping with Carson Kressley"
February 20,Daniel Dae Kim,"LIVE ! at Aulani in Hawaii : Jon Cryer , Kelly goes Whale-Watching with Carson Kressley , Derek Hough dances with the Wedding Couple"
February 21,Matthew Morrison,"LIVE ! at Aulani in Hawaii : Jorge Garcia , Kelly and Matthew get a Hula Lesson , Tour of Pearl Harbor , Wedding Preview"
February 22,Carrie Ann Inaba,"LIVE ! at Aulani in Hawaii : Patricia Heaton , Carson Kressley , Tastes of Hawaii , Rehearsal Dinner Preview"
February 23,Mark Consuelos,"LIVE ! at Aulani in Hawaii : Rico Rodriguez , Cobra Starship , Hawaiian Wedding Traditions , Mark takes the wedding party surfing"
February 24,Mark Consuelos,LIVE ! at Aulani in Hawaii : LIVE 's Hawaiian Dream Wedding including Colbie Caillat
February 27,Neil Patrick Harris,"LIVE ! with Kelly After Oscar Show : Octavia Spencer , Jean Dujardin , The Cast of The Artist , Isaac Mizrahi , Maria Menounos , Lawrence Zarian , Uggie"
February 28,Lucy Liu,"Kristin Chenoweth , Poppy Montgomery , Hawaiian Dream Wedding Reception , Nokia Phone Giveaway"
