Year,Title,Role
1961,"Hey , Let 's Twist !",Doctor
1969,Putney Swope,Mr. Bad News
1971,The Christian Licorice Store,Monroe
1972,Cisco Pike,Sim Valensi
1972,Greaser 's Palace,Jessy
1973,The Young Nurses,Krebs
1973,Coffy,Arturo Vitroni
1973,"Scream , Pretty Peggy",Dr. Saks
1973,Cinderella Liberty,Drunken Sailor
1974,The Odd Couple,"Ernie Ferguson ( Hypnotist ) season 4 , episode 15 :"
1974,Law and Disorder,Dr. Richter
1976,Hawaii Five-O,Vince Maynard
1976,W.C. Fields and Me,Gregory LaCava
1977,Raid on Entebbe,Eli Melnick
1978,Damien : Omen II,Pasarian
1978,Wonder Woman,Bleaker
1979,Americathon,Moishe Weitzman
1979,The Electric Horseman,Danny
1980,The Last Married Couple in America,Al Squib
1981,Gangster Wars,Goodman
