Medal,Name,Sport,Event,Date
Silver,Ngangbam Soniya Chanu,Weightlifting,Women 's 48kg,4 October
Silver,Sukhen Dey,Weightlifting,Men 's 56kg,4 October
Silver,Omkar Singh & Deepak Sharma,Shooting,Men 's 50m Pistol ( Pairs ),5 October
Silver,Tejaswini Sawant & Lajjakumari Gauswami,Shooting,Women 's 50m Rifle 3 Positions ( Pairs ),5 October
Silver,Nishan Singh Gill,Shooting,Women 's 25m Pistol ( Single ),6 October
Silver,Abhinav Bindra,Shooting,Men 's 10m Air Rifle ( Singles ),6 October
Silver,Asher Noria & Ronjan Sodhi,Shooting,Men 's Double trap ( Pairs ),6 October
Silver,Manoj Kumar,Wrestling,Men 's Greco-Roman 84 kg,6 October
Silver,"Ritul Chatterjee , Jignas Chittibomma & Chinna Raju Srither",Archery,Men 's compound team,7 October
Silver,Ronjan Sodhi,Shooting,Men 's Double trap Individual,7 October
Silver,Nirmala Devi,Wrestling,Women 's freestyle 48 kg,7 October
Silver,Ashish Kumar,Gymnastics,Men 's Vault,8 October
Silver,Manavjit Singh Sandhu & Mansher Singh,Shooting,Men 's Trap ( Pairs ),8 October
Silver,Babita Kumari,Wrestling,Women 's freestyle 51 kg,8 October
Silver,"Mouma Das , Poulomi Ghatak & Shamini Kumaresan",Table Tennis,Women 's team,8 October
Silver,Badminton Mixed Team,Badminton,Mixed team,8 October
Silver,Sania Mirza,Tennis,Women 's singles,9 October
Silver,Vijay Kumar,Shooting,Men 's 25m centre fire pistol Individual,10 October
Silver,Anuj Kumar,Wrestling,Men 's freestyle 84 kg,10 October
Silver,Joginder Kumar,Wrestling,Men 's freestyle 120 kg,10 October
