City,County,"Population ( January 1 , 2010 )",Land area
Chowchilla,Madera,"18,698",7.1 sq mi ( 18 km )
Clovis,Fresno,"97,218",22.03 sq mi ( 57.1 km )
Coalinga,Fresno,"19,065",5.9 sq mi ( 15 km )
Firebaugh,Fresno,"6,941",2.8 sq mi ( 7.3 km )
Fowler,Fresno,"5,764",2 sq mi ( 5.2 km )
Fresno,Fresno,"502,303",104.4 sq mi ( 270 km )
Huron,Fresno,"8,062",1.3 sq mi ( 3.4 km )
Kerman,Fresno,"14,381",2.2 sq mi ( 5.7 km )
Kingsburg,Fresno,"11,504",2.3 sq mi ( 6.0 km )
Madera,Madera,"58,243",12.3 sq mi ( 32 km )
Mendota,Fresno,"9,966",1.9 sq mi ( 4.9 km )
Orange Cove,Fresno,"11,089",1.5 sq mi ( 3.9 km )
Parlier,Fresno,"13,658",1.6 sq mi ( 4.1 km )
Reedley,Fresno,"26,227",4.4 sq mi ( 11 km )
Sanger,Fresno,"25,664",4.7 sq mi ( 12 km )
San Joaquin,Fresno,"4,071",1 sq mi ( 2.6 km )
Selma,Fresno,"23,435",4.3 sq mi ( 11 km )
