Year,Player,Team represented,Position played
1993,Emmitt Smith,Dallas Cowboys,Running back
1994,Emmitt Smith †*,Dallas Cowboys,Running back
1995,Barry Sanders,Detroit Lions,Running back
1996,Brett Favre *,Green Bay Packers,Quarterback
1997,Brett Favre *,Green Bay Packers,Quarterback
1998,Barry Sanders,Detroit Lions,Running back
1999,Terrell Davis *,Denver Broncos,Running back
2000,Kurt Warner †*,St. Louis Rams,Quarterback
2001,Marshall Faulk *,St. Louis Rams,Running back
2002,Marshall Faulk,St. Louis Rams,Running back
2003,Michael Vick,Atlanta Falcons,Quarterback
2004,Peyton Manning *,Indianapolis Colts,Quarterback
2005,Peyton Manning *,Indianapolis Colts,Quarterback
2006,Shaun Alexander *,Seattle Seahawks,Running back
2007,LaDainian Tomlinson *,San Diego Chargers,Running back
2008,Tom Brady *,New England Patriots,Quarterback
2009,Larry Fitzgerald,Arizona Cardinals,Wide receiver
2010,Drew Brees †,New Orleans Saints,Quarterback
2011,Aaron Rodgers †,Green Bay Packers,Quarterback
2012,Aaron Rodgers *,Green Bay Packers,Quarterback
