University,Initialism,Founded,Main campus,Website
Kalasin University,KSU,2015,Kalasin,[ 1 ]
Mahasarakham University,MSU,1994,Maha Sarakham,[ 2 ]
Nakhon Phanom University,NPU,2005,Nakhon Phanom,[ 3 ]
Naresuan University,NU,1990,Phitsanulok,[ 4 ]
National Institute of Development Administration ( NIDA ),NIDA,1966,Bangkok,[ 5 ]
Pathumwan Institute of Technology,PTWIT,1999,Bangkok,[ 6 ]
Praboromarajchanok Institute,PI,1993,Bangkok,[ 7 ]
Princess of Naradhiwas University,PNU,2005,Narathiwat,[ 8 ]
Ramkhamhaeng University,RU,1971,Bangkok,[ 9 ]
Sukhothai Thammathirat Open University,STOU,1978,Bangkok,[ 10 ]
Thailand National Sports University,TNSU,2019,Bangkok,[ 11 ]
Ubon Ratchathani University,UBU,1990,Ubon Ratchathani,[ 12 ]
