Name in English,Name in Turkish,Area ( km ),Location ( districts and/or provinces )
Lake Van,Van Gölü,3755 km,"Van , Bitlis"
Lake Tuz,Tuz Gölü,1500 km,"Aksaray , Ankara , Konya"
Lake Beyşehir,Beyşehir Gölü,656 km,"Beyşehir in Konya , Isparta"
Lake Eğirdir,Eğirdir Gölü,482 km,Isparta
Lake İznik,İznik Gölü,308 km,"İznik in Bursa , Yalova"
Lake Burdur,Burdur Gölü,200 km,"Burdur , Isparta"
Lake Manyas,Manyas Gölü,166 km,Balıkesir
Lake Acıgöl,Acıgöl,153 km,"Denizli , Afyonkarahisar"
Lake Uluabat,Uluabat Gölü,134 km,Bursa
Lake Çıldır,Çıldır Gölü,115 km,"Ardahan , Kars"
Lake Palas Tuzla,Palas Tuzla Gölü,106 km,Palas / Kayseri
Lake Akşehir,Akşehir Gölü,105 km,"Akşehir in Konya , Afyonkarahisar"
Lake Eber,Eber Gölü,104 km,Afyonkarahisar
Lake Erçek,Erçek Gölü,98 km,Van
Lake Hazar,Hazar Gölü,86 km,Elazığ
Lake Bafa,Bafa Gölü,60 km,"Aydın , Muğla"
Lake Köyceğiz,Köyceğiz Gölü,52 km,Köyceğiz in Muğla
Lake Işıklı,Işıklı Gölü,49 km,Denizli
Lake Nazik,Nazik Gölü,48 km,Bitlis
Lake Sapanca,Sapanca Gölü,47 km,Sakarya Province
