Title,Publisher,Developer ( s ),Release Date,ESRB
Yoshis Island DS,Nintendo,Artoon,"April 1 , 2015",E
WarioWare : Touched !,Nintendo,Intelligent Systems,"April 9 , 2015",E
Yoshi Touch & Go,Nintendo,Nintendo EAD,"April 9 , 2015",E
Mario Kart DS,Nintendo,Nintendo EAD,"April 23 , 2015",E
New Super Mario Bros,Nintendo,Nintendo EAD,"May 14 , 2015",E
Mario & Luigi : Partners in Time,Nintendo,AlphaDream,"June 25 , 2015",E
Star Fox Command,Nintendo,Nintendo EAD,"June 25 , 2015",E10+
DK : Jungle Climber,Nintendo,Nintendo,"July 23 , 2015",E
Kirby : Squeak Squad,Nintendo,HAL Laboratory,"July 30 , 2015",E
Big Brain Academy,Nintendo,Nintendo,"February 11 , 2016",E
Brain Age : Train Your Brain in Minutes a Day !,Nintendo,Nintendo SPD,"April 14 , 2016",E
Mario Party DS,Nintendo,Hudson Soft,"April 21 , 2016",E
Style Savvy,Nintendo,Nintendo SPD,"May 5 , 2016",E
The Legend of Zelda : Phantom Hourglass,Nintendo,Nintendo EAD,"May 12 , 2016",E
Metroid Prime Hunters,Nintendo,Nintendo Software Technology,"June 2 , 2016",T
Wario : Master of Disguise,Nintendo,Suzak,"June 9 , 2016",E10+
Pokémon Mystery Dungeon Blue Rescue Team,Nintendo,Chunsoft,"June 23 , 2016",E
Pokémon Mystery Dungeon : Explorers of Sky,Nintendo,Chunsoft,"June 23 , 2016",E
Pokémon Ranger,Nintendo,HAL Laboratory,"July 21 , 2016",E
Kirby : Mass Attack,Nintendo,HAL Laboratory,"July 28 , 2016",E
