Title,Year,Genre,Notes
The Frogmen,1951,War,Scuba diving experts including Richard Widmark operate as military commandos
Beneath the 12-Mile Reef,1953,Adventure,"Story of sponge divers off the Florida Keys , starring Robert Wagner"
The Silent World,1956,Documentary,Directed by Jacques-Yves Cousteau and Louis Malle
World Without Sun,1964,Documentary,"Directed by Jacques-Yves Cousteau , chronicles Conshelf Two , the first attempt to create an underwater habitat for humans to live on the sea floor"
Voyage to the Edge of the World,1976,Documentary,"Directed by Jacques-Yves Cousteau , Philippe Cousteau and Marshall Flaum , chronicles a four months expedition by Cousteau to Antarctica"
The Deep,1977,Adventure,Dangerous men go after scuba divers Nick Nolte and Jacqueline Bisset near Bermuda
The Big Blue,1988,Drama,"French director Luc Besson 's story of free divers , starring Jean Reno and Rosanna Arquette"
Ghosts of the Abyss,2003,Documentary,Director James Cameron and crew submerge to explore remains of Titanic
Open Water,2003,Drama,Director Chris Kentis . The story of the disappearance of scuba divers Tom and Eileen Lonergan in 1998
The Cave,2005,Horror,"Off coast of Romania , spelunkers and divers discover terrifying parasites"
Into the Blue,2005,Adventure,Divers Jessica Alba and Paul Walker find crashed plane transporting cocaine
Fool 's Gold,2008,Adventure,Treasure hunter Matthew McConaughey dives searching for Spanish galleon
Sanctum,2011,Adventure,An underwater cave diving team experiences a life-threatening crisis during an expedition to the unexplored and least accessible cave system in the world
No Limits,2013,Documentary,"Made for TV as part of ESPN 's Nine for IX series . Explores the life of Audrey Mestre , a world-class freediver , and the events leading up to the dive that ultimately took her life"
