Festival,Year,Host city
1st Vietnam Film Festival,1970,Hanoi
2nd Vietnam Film Festival,1973,Hanoi
3rd Vietnam Film Festival,1975,Haiphong
4th Vietnam Film Festival,1977,Ho Chi Minh City
5th Vietnam Film Festival,1980,Hanoi
6th Vietnam Film Festival,1983,Ho Chi Minh City
7th Vietnam Film Festival,1985,Hanoi
8th Vietnam Film Festival,1988,Đà Nẵng
9th Vietnam Film Festival,1990,Nha Trang
10th Vietnam Film Festival,1993,Haiphong
11th Vietnam Film Festival,1996,Hanoi
12th Vietnam Film Festival,1999,Huế
13th Vietnam Film Festival,2001,Vinh
14th Vietnam Film Festival,2004,Buôn Ma Thuột
15th Vietnam Film Festival,2007,Nam Định
16th Vietnam Film Festival,2009,Ho Chi Minh City
17th Vietnam Film Festival,2011,Tuy Hòa
18th Vietnam Film Festival,2013,Hạ Long
