Code,Country,Used until,Replaced by,Notes
ADN,Aden,1980,Y,"From 1938. a.k.a . South Yemen , People 's Democratic Republic of Yemen ( 1967 )"
BA,Burma,1956,BUR,From 1937
BP,Bechuanaland Protectorate,1966,,Now Botswana
CA,Canada,1956,CDN,
CS,Czechoslovakia,1992,CZ / SK,Split into Czech Republic and Slovakia
DA,"Danzig , Free City of",1939,D ( 1939-1945 ) PL ( since 1945 ),Danzig ( German for Gdańsk )
DDR,German Democratic Republic,1990,D,"From 1974 ( used D until 1974 ) , Deutsche Demokratische Republik"
EIR,Éire,1992,IRL,Now Ireland
EW,Estonia,1993,EST,Eesti Vabariik ( Estonian )
FR,Faroe Islands,1996,FO,Føroyar ( Faroese )
GBY,Malta,1966,M,Changed after Independence from UK
GRO,Greenland,1910,KN,Grønland ( Danish language ) / Kalaallit Nunaat ( Greenlandic language ) . Unofficial . The official code is DK
HV,"Upper Volta ( French : Haute-Volta ) , now Burkina Faso",1984,BF,Upper Volta
LR,Latvia,1927-1940,"SU , LV",Latvijas Republika ( Latvian )
MK,Republic of Macedonia,1992-2019,NMK,Became North Macedonia in 2019
R,Romania,1981,RO,
RB,Botswana,2003,BP,Republic of Botswana . Formerly Bechuanaland Protectorate
RNY,Rhodesia-Nyasaland Fed,1953-1963,"NP , NR , SR","Now Malawi , Zambia and Zimbabwe"
ROU,Uruguay,1979-2012,UY,República Oriental del Uruguay ( Spanish )
RSR,Southern Rhodesia,1965-1979,SR,Now Zimbabwe
