Rank,Airport,Serves,Aircraft movements,Annual change
1,Toronto Pearson International Airport,Greater Toronto Area,"433,610",-0.5%
2,Vancouver International Airport,Metro Vancouver,"301,725",0.6%
3,Calgary International Airport,Calgary,"244,913",1.7%
4,Montréal-Pierre Elliott Trudeau International Airport,Greater Montreal,"224,071",-3.4%
5,Ottawa Macdonald-Cartier International Airport,Ottawa,"165,864",3.3%
6,Montréal/Saint-Hubert Airport,Greater Montreal,"163,309",7.0%
7,Edmonton International Airport,Edmonton Capital Region,"156,711",9.2%
8,Boundary Bay Airport,Greater Vancouver,"145,596",-2.1%
9,Victoria International Airport,Victoria,"142,590",3.9%
10,Calgary/Springbank Airport,Calgary,"134,584",1.4%
11,Winnipeg James Armstrong Richardson International Airport,Winnipeg,"125,266",-4.8%
12,Buttonville Municipal Airport,Markham,"122,386",-13.3%
13,Québec City Jean Lesage International Airport,Quebec City,"118,265",-13.0%
14,Abbotsford International Airport,Abbotsford,"114,528",5.3%
15,Billy Bishop Toronto City Airport,Toronto,"114,428",-0.1%
16,Region of Waterloo International Airport,Regional Municipality of Waterloo,"106,808",3.2%
17,St. Andrews Airport,Winnipeg,"99,569",8.5%
18,Thunder Bay International Airport,Thunder Bay,"97,889",-10.5%
19,Fredericton International Airport,Fredericton,"92,936",9.9%
20,Saskatoon John G. Diefenbaker International Airport,Saskatoon,"91,893",0.9%
