State ( class ),Vacator,Reason for change,Successor,Date of successor 's formal installation
Minnesota ( 2 ),Disputed,"Incumbent Norm Coleman ( R ) challenged the election of Al Franken ( D ) . The results were disputed , and the seat remained vacant at the beginning of the Congress . Following recounts and litigation , Coleman conceded , and Franken was seated",Al Franken ( D ),"July 7 , 2009"
Illinois ( 3 ),Vacant,"Barack Obama ( D ) resigned near the end of the previous Congress , after being elected President of the United States . His successor was appointed December 31 , 2008 , during the last Congress , but due to a credentials challenge , his credentials were not deemed in order until January 12 , and he was not sworn in to fill his seat until 12 days after the initiation of this Congress . The appointed successor filled the seat until a special election was held November 2 , 2010",Roland Burris ( D ),"January 12 , 2009"
Delaware ( 2 ),Joe Biden ( D ),"Resigned January 15 , 2009 , to assume the position of Vice President . The appointed successor held the seat until a special election was held November 2 , 2010",Ted Kaufman ( D ),"January 16 , 2009"
Colorado ( 3 ),Ken Salazar ( D ),"Resigned January 20 , 2009 , to become Secretary of the Interior . The appointed successor held the seat for the remainder of the term that ends with this Congress",Michael Bennet ( D ),"January 21 , 2009"
New York ( 1 ),Hillary Clinton ( D ),"Resigned January 21 , 2009 , to become Secretary of State . The appointed successor held the seat until a special election was held November 2 , 2010",Kirsten Gillibrand ( D ),"January 26 , 2009"
Pennsylvania ( 3 ),Arlen Specter ( R ),"Changed party affiliation April 30 , 2009",Arlen Specter ( D ),"April 30 , 2009"
Massachusetts ( 1 ),Ted Kennedy ( D ),"Died August 25 , 2009 . The appointed successor held the seat until the elected successor took the seat",Paul G. Kirk ( D ),"September 25 , 2009"
Florida ( 3 ),Mel Martinez ( R ),"Resigned September 9 , 2009 , for personal reasons . The appointed successor held the seat for the remainder of the term that ends with this Congress",George LeMieux ( R ),"September 10 , 2009"
Massachusetts ( 1 ),Paul G. Kirk ( D ),"Appointment expired February 4 , 2010 , following a special election . The winner of the election held the seat for the remainder of the term that ended January 3 , 2013",Scott Brown ( R ),"February 4 , 2010"
West Virginia ( 1 ),Robert Byrd ( D ),"Died June 28 , 2010 . The appointed successor held the seat until a special election was held November 2 , 2010",Carte Goodwin ( D ),"July 16 , 2010"
Delaware ( 2 ),Ted Kaufman ( D ),"Appointed January 15 , 2009 . The appointment lasted only until the November 2010 special election , in which he was not a candidate . The winner of the special election held the seat for the remainder of the term that ended January 3 , 2015",Chris Coons ( D ),"November 15 , 2010"
West Virginia ( 1 ),Carte Goodwin ( D ),"Appointed July 16 , 2010 . The appointment lasted only until the November 2010 special election , in which he was not a candidate . The winner of the special election held the seat for the remainder of the term that ended January 3 , 2013",Joe Manchin ( D ),"November 15 , 2010"
Illinois ( 3 ),Roland Burris ( D ),"Appointed January 12 , 2009 . The appointment lasted only until the November 2010 special election , in which he was not a candidate . The winner of the special election held the seat for the remainder of the term that ended with this Congress",Mark Kirk ( R ),"November 29 , 2010"
