Round,Pick #,Overall,Name,Position,College
1,25,25,Mark Mullaney,Defensive end,Colorado State
2,26,52,Art Riley,Defensive tackle,USC
4,11,89,Champ Henson,Fullback,Ohio State
4,25,103,Bruce Adams,Wide receiver,Kansas
5,25,129,Robert Miller,Running back,Kansas
6,25,155,Bubba Broussard,Linebacker,Houston
7,25,181,Henry Green,Running back,Southern
8,25,207,Joe Hollimon,Defensive back,Arkansas State
9,25,233,John Passananti,Guard,Western Illinois
10,24,258,Neil Clabo,Punter,Tennessee
11,25,285,Ike Spencer,Running back,Utah
12,25,311,Autry Beamon,Cornerback,East Texas State
13,24,336,Mike Hurd,Wide receiver,Michigan State
14,25,363,Mike Strickland,Running back,Eastern Michigan
15,24,388,Ollie Bakken,Linebacker,Minnesota
16,24,414,Tom Goedjen,Kicker,Iowa State
17,25,441,Adolph Bellizeare,Running back,Pennsylvania
