Date,Co-Hosts,Guests/Segments
January 5,Regis Philbin & Kelly Ripa,"Anne Hathaway , Lisa Rinna , and Feeling Fine in '09"
January 6,Regis Philbin & Kelly Ripa,Kate Hudson and Feeling Fine in '09
January 7,Regis Philbin & Kelly Ripa,Glenn Close and Feeling Fine in '09
January 8,Regis Philbin & Kelly Ripa,Kevin James and Feeling Fine in '09
January 9,Kelly Ripa & Howie Mandel,Kiefer Sutherland and Feeling Fine in '09
January 12,Regis Philbin & Kelly Ripa,Joan Rivers and Save a Dime in '09
January 13,Regis Philbin & Kelly Ripa,Zach Braff and Save a Dime in '09
January 14,Regis Philbin & Kelly Ripa,Daniel Craig and Save a Dime in '09
January 15,Regis Philbin & Kelly Ripa,Kate Winslet and Save a Dime in '09
January 16,Regis Philbin & Kelly Ripa,Brendan Fraser and Save a Dime in '09
January 19,Regis Philbin & Kelly Ripa,"Kyra Sedgwick , Brody Jenner , and Kara DioGuardi"
January 21,Regis Philbin & Kelly Ripa,"George Stephanopoulos , William H. Macy , and Watch to Win Contest Winner"
January 22,Regis Philbin & Kelly Ripa,Mira Sorvino and Fall Out Boy
January 23,Kelly Ripa & Anderson Cooper,Eric McCormack
January 26,Regis Philbin & Kelly Ripa,"Miss America 2009 , Joshua Jackson , and Ultimate Game Day Grub Week"
January 27,Regis Philbin & Kelly Ripa,"Harry Connick , Jr. and Ultimate Game Day Grub Week"
January 28,Regis Philbin & Kelly Ripa,Evangeline Lilly and Ultimate Game Day Grub Week
January 29,Regis Philbin & Kelly Ripa,"Renée Zellweger , Demi Lovato , and Ultimate Game Day Grub Week"
January 30,Kelly Ripa & Ted McGinley,Mary-Louise Parker and Ultimate Game Day Grub Week
