Season,Player,Position,Nationality,Team
2007-08,Morris Almond,Guard,United States,Utah Flash
2008-09,Eddie Gill,Guard,United States,Colorado 14ers
2009-10,Brian Butch,Center,United States,Bakersfield Jam
2010-11,Jeff Adrien,Forward,United States,Rio Grande Valley Vipers
2011-12,Eric Dawson,Forward,United States,Austin Toros
2012-13,Rasual Butler,Forward,United States,Tulsa 66ers
2013-14,Ike Diogu,Forward,Nigeria / United States,Bakersfield Jam
2014-15,Jerel McNeal,Guard,United States,Bakersfield Jam
2015-16,Ryan Gomes,Forward,United States,Los Angeles D-Fenders
2016-17,John Holland,Guard,United States / Puerto Rico,Canton Charge
