School,Nickname,City,State,Conference
Benedictine,Eagles,Lisle,Illinois,NACC
Catholic,Cardinals,Washington,District of Columbia,NEWMAC
John Carroll,Blue Streaks,University Heights,Ohio,OAC
King 's,Monarchs,Wilkes-Barre,Pennsylvania,MAC
Loras,Duhawks,Dubuque,Iowa,ARC
Mount St. Joseph,Lions,Cincinnati,Ohio,HCAC
St. John 's,Johnnies,Collegeville,Minnesota,MIAC
St. Norbert,Green Knights,De Pere,Wisconsin,MWC
St. Scholastica,Saints,Duluth,Minnesota,UMAC
St. Thomas,Tommies,St. Paul,Minnesota,MIAC
St. Vincent,Bearcats,Latrobe,Pennsylvania,PAC
Salve Regina,Seahawks,Newport,Rhode Island,CCC Football
