City of license/Market,Station,Channel TV ( DT ),Year of affiliation,Ownership
"Abilene - Sweetwater , TX",KRBC-TV,9 ( 29 ),1953,Mission Broadcasting ( operated by Nexstar Media Group )
"Ada , OK - Sherman , TX",KTEN,10 ( 26 ),1977,Lockwood Broadcast Group
"Albany , Georgia",WALB-TV,10 ( 10 ),1954,Gray Television
"Albany - Schenectady - Troy , N.Y",WNYT,13 ( 12 ),1981,Hubbard Broadcasting
Albuquerque - Santa Fe,KOB,4 ( 26 ),1948,Hubbard Broadcasting
"Alexandria , Louisiana",KALB-TV,5 ( 35 ),1954,Gray Television
"Amarillo , Texas",KAMR-TV,4 ( 19 ),1953,Nexstar Media Group
"Anchorage , Alaska",KTUU-TV,2 ( 10 ),1971,Gray Television
Atlanta,WXIA-TV,11 ( 10 ),1980,Tegna
"Augusta , Georgia",WAGT-CD,26 ( 30 ),2017,Gray Television
"Austin , Texas",KXAN-TV,36 ( 21 ),1966,Nexstar Media Group
"Bakersfield , California",KGET-TV,17 ( 25 ),1984,Nexstar Media Group
Baltimore,WBAL-TV,11 ( 11 ),1995,Hearst Television
"Bangor , Maine",WLBZ,2 ( 2 ),1959,Tegna
"Baton Rouge , Louisiana",WVLA-TV,33 ( 34 ),1977,White Knight Broadcasting ( operated by Nexstar Media Group )
"Beaumont - Port Arthur , TX",KBMT-DT2,12.2 ( 12.2 ),2009,Tegna
"Bend , Oregon",KTVZ,21 ( 21 ),1977,News-Press & Gazette Company
"Billings , Montana",KULR-TV,8 ( 11 ),1987,Cowles Company
"Biloxi - Gulfport , MS",WXXV-DT2,25.2 ( 48.2 ),2012,Morris Multimedia
"Binghamton , New York",WBGH-CD,20 ( 20 ),1997,Nexstar Media Group
