Airing date,English title ( Chinese title ),Number of episodes,Main cast,Theme song ( T ) Sub-theme song ( ST ),Genre,Notes,Official website
18 Jan- 12 Mar,The Flying Fox of Snowy Mountain 雪山飛狐,40,"Sunny Chan , Charmaine Sheh , Joyce Tang , Marco Ngai , Felix Wong , Maggie Siu",T : 愛你愛到不知痛 ( Jacky Cheung ),Costume drama,Copyright notice on VHS : 1998,Official website
15 Mar- 7 May,Happy Ever After 金玉滿堂,40,"Bobby Au Yeung , Mariane Chan , Nadia Chan , Kwong Wah , Roger Kwok , Fiona Leung",T : 甜酸苦辣 ( Roman Tam ) ST : 愛你不是渾閒事 ( Nadia Chan ),Costume drama,,Official website
10 May- 4 Jun,A Matter of Business 千里姻緣兜錯圈,20,"Ada Choi , Chin Ka Lok , Cutie Miu , Joe Ma , Florence Kwok",,Modern drama,,Official website
7 Jun- 17 Jul,Justice Sung II 狀王宋世傑 ( 貳 ),32,"Cheung Tat Ming , Amy Kwok , Dayo Wong",T : 清風不染 ( Adam Cheng ),Costume drama,Sequel to 1997 's Justice Sung,Official website
19 July- 6 Aug,Side Beat 吾係差人 ( or 兼職警察 ),15,"Wong He , Jackie Lui , Flora Chan",T : 好心情 ( Eason Chan ),Modern action,"Overseas version 20 episodes Released overseas on May 17 , 1999",Official website
9 Aug- 3 Sep,Face to Face 雙面伊人,20,"Ekin Cheng , Fennie Yuen , Raymond Cho , Michael Tse",T : 雙面人 ( Ekin Cheng ),Modern drama,"Released overseas on August 2 , 1999",Official website
6 Sep- 1 Oct,Road to Eternity 布袋和尚,20,"Gordon Lam , Mariane Chan , Marco Ngai",T : 笑喇笑喇笑一笑 ( James Wong ),Costume drama,,
4 Oct- 29 Oct,Life for Life 命轉情真,20,"Cheung Tat Ming , Mariane Chan , Cutie Mui , Michael Tse , Louisa So",T : 是這刻 ( Cheung Tat Ming ),,,
1 Nov- 12 Dec,Plain Love II 茶是故鄉濃,32,"Gordon Lam , Maggie Cheung , Evergreen Mak , Yuen Wah , Louisa So",T : 接近 ( Jacky Cheung & Priscilla Chan ),Period drama,,Official website
13 Dec- 31 Dec,A Smiling Ghost Story 衝上人間,20,"Maggie Cheung , Roger Kwok , Nick Cheung , Monica Chan , Fiona Yuen , Joe Ma",T : 快樂的 ( Miriam Yeung ),Modern drama,Copyright notice : 1998,website
