Year,Title,Role,Notes
2004,Grounded for Life,College Guy,Episode : Communication Breakdown
"2004-13 , 2016",The Young and the Restless,Daniel Romalotti,"917 episodes Nominated - Soap Opera Digest Award for Outstanding Male Newcomer Nominated - Daytime Emmy Award for Outstanding Younger Actor in a Drama Series ( 2005 , 2006 )"
2004,NCIS,Chuck,Episode : Split Decision
2008,Criminal Minds,Steven,Episode : In Heat
2008,The Cleaner,Aaron,Episode : Pilot
2008,90210,Eric,3 episodes
2009,Castle,Brent Johnson,Episode : Nanny McDead
2009,Crash,Gavin Buckley,3 episodes
2010,CSI : NY,Keith Borgese,Episode : Sanguine Love
2010,Saving Grace,Kaz,Episode : Let 's Talk
2010,Miami Medical,Scott,Episode : Golden Hour
2010,Ghost Whisperer,Kyle/Seth,Episode : Dead Ringer
2010,CSI : Crime Scene Investigation,Kurt Francis,Episode : Blood Moon
2011,Necessary Roughness,Tyler Paxton,Episode : Dream On
2011,American Horror Story : Murder House,Travis Wanderley,5 episodes
2012,The Secret Circle,Callum,5 episodes
2012,The Mob Doctor,Louis,Episode : Confessions
2013,Justified,Mason Goines,Episode : Truth and Consequences
2013,The Client List,Bobby,Episode : Unanswered Prayers
2013,Longmire,Richard Montero,Episode : Sound and Fury
