,Name on the Register,Date listed,Location,City or town,Description
1,Amberg Town Hall,"March 20 , 1981 ( # 81000048 )",One third mile off U.S. 141 on County V. 45°30′09″N 87°59′40″W / 45.5025°N 87.994444°W / 45.5025 ; -87.994444 ( Amberg Town Hall ),Amberg,"Designed by Charles Maass of Marinette in Queen Anne style and built in 1894 , the hall housed a jail , a clerk 's office and a community hall used for live entertainers , Christmas plays , meetings , dances and basketball games"
2,Bijou Theatre Building,"March 11 , 1993 ( # 93000159 )",1722-1726 Main St. 45°05′58″N 87°37′47″W / 45.099444°N 87.629722°W / 45.099444 ; -87.629722 ( Bijou Theatre Building ),Marinette,"Classical Revival building built in 1905 as a department store and vaudeville theater for Frank Lauerman . As vaudeville succumbed to motion pictures , it was converted to a movie theater"
3,Mary and Harry Brown House,"October 5 , 2015 ( # 15000713 )",1931 Riverside Ave. 45°06′08″N 87°37′57″W / 45.1023°N 87.6325°W / 45.1023 ; -87.6325 ( Mary and Harry Brown House ),Marinette,Lumber baron and Senator Isaac Stephenson had this house along the Menominee River built in 1885 in Queen Anne style for his daughter Mary . In the 1920s it was remodelled to the then-more-fashionable Tudor Revival style
4,Chautauqua Grounds Site,"April 29 , 1997 ( # 97000367 )",Address Restricted,Marinette,An archaeological site of the Old Copper Culture
5,Dunlap Square Building,"February 24 , 1992 ( # 92000026 )",1821 Hall St. 45°05′58″N 87°37′55″W / 45.099444°N 87.631944°W / 45.099444 ; -87.631944 ( Dunlap Square Building ),Marinette,"This Queen Anne styled business block built from 1890 to 1902 has housed a drug store , a saloon , a telephone exchange , restaurants , shops , and various offices"
6,Independent Order of Odd Fellows-Lodge No . 189 Building,"January 7 , 1999 ( # 98001597 )",1335 Main St. 45°05′42″N 87°37′18″W / 45.095°N 87.621667°W / 45.095 ; -87.621667 ( Independent Order of Odd Fellows-Lodge No . 189 Building ),Marinette,Two-story brick Odd Fellows lodge built in 1889
7,Lena Road School,"April 26 , 2002 ( # 02000415 )",N2155 US 141 45°02′19″N 88°02′42″W / 45.038611°N 88.045°W / 45.038611 ; -88.045 ( Lena Road School ),Pound,"Simple , classic one-room school built by local farmers in 1911 and used as a school until 1959"
8,Lauerman Brothers Department Store,"February 24 , 1992 ( # 92000027 )",1701-1721 Dunlap Sq . 45°05′58″N 87°37′51″W / 45.099444°N 87.630833°W / 45.099444 ; -87.630833 ( Lauerman Brothers Department Store ),Marinette,"The flagship of a multi-state chain of department stores based in Marinette . Complex includes the early Italianate-styled business block , the department store built from 1904 to 1924 designed in Chicago Commercial style , and the warehouse built in 1920"
9,F.J. Lauerman House,"August 14 , 1979 ( # 79000094 )",383 State St. 45°06′00″N 87°38′21″W / 45.1°N 87.639167°W / 45.1 ; -87.639167 ( F.J. Lauerman House ),Marinette,"Spanish Colonial Revival-styled home built in 1901 for Frank Lauerman of the department store , and called Casa del Flores"
10,Milwaukee Road Depot,"January 12 , 2005 ( # 04001485 )",650 Hattie St. 45°05′55″N 87°38′17″W / 45.098611°N 87.638056°W / 45.098611 ; -87.638056 ( Milwaukee Road Depot ),Marinette,"Stick style depot built in 1903 by the Milwaukee Road , originally with a women 's waiting room on one end and men 's on the other"
11,Peshtigo Fire Cemetery,"October 15 , 1970 ( # 70000037 )",Oconto Ave. between Peck and Ellis Aves . 45°03′23″N 87°45′15″W / 45.056389°N 87.754167°W / 45.056389 ; -87.754167 ( Peshtigo Fire Cemetery ),Peshtigo,"Graves of victims of the fire of 1871 , including a mass grave of 300 men , women and children who could not be identified"
12,Peshtigo Reef Light,"May 2 , 2007 ( # 07000404 )","Offshore in lower Green Bay , approx . 3.3 mi ( 5.3 km ) . SE of Peshtigo Point 44°57′31″N 87°34′48″W / 44.958611°N 87.58°W / 44.958611 ; -87.58 ( Peshtigo Reef Light )",Peshtigo Township,Lighthouse built in 1936 to warn ships of the shoal which runs out three miles from the mouth of the Peshtigo River . A daymark marked the shoal from 1869 to 1906 and a lightship from then to 1936 . ( ARLHS USA 951 )
