Site,Municipality,Type,Ref
* Ichijōdani Asakura Family Gardens 一乗谷朝倉氏庭園 Ichijõ-dani Asakura-shi teien,Fukui,1,[ 1 ]
Itō Family Gardens 伊藤氏庭園 Itō-shi teien,Minamiechizen,1,[ 2 ]
Kehi no Matsubara 気比の松原 Kehi-no-matsubara,Tsuruga,"3 , 8",[ 3 ]
Former Genshō-in Gardens 旧玄成院庭園 kyū-Genshō-in teien,Katsuyama,1,[ 4 ]
Mikata Five Lakes 三方五湖 Mikata go-ko,Wakasa / Mihama,"7 , 8",[ 5 ]
Shibata Family Gardens 柴田氏庭園 Shibata-shi teien,Tsuruga,1,[ 6 ]
Sotomo 若狭蘇洞門 Wakasa Sotomo,Obama,"5 , 8",[ 7 ]
Jōfuku-ji Gardens 城福寺庭園 Jōfukuji teien,Echizen,1,[ 8 ]
Saifuku-ji Shoin Gardens 西福寺 書院庭園 Saifukuji shoin teien,Tsuruga,1,[ 9 ]
Takidan-ji Gardens 滝谷寺 庭園 Takidanji teien,Sakai,1,[ 10 ]
Tōjinbō 東尋坊 Tōjinbō,Sakai,"5 , 8",[ 11 ]
Umeda Family Gardens 梅田氏庭園 Umeda-shi teien,Ikeda,1,[ 12 ]
Yōkōkan Gardens 養浩館 （旧御泉水屋敷）庭園 Yōkōkan ( kyū-Osensui yashiki ) teien,Fukui,1,[ 13 ]
Mantoku-ji Gardens 萬徳寺 庭園 Mantokuji teien,Obama,1,[ 14 ]
