Song title,Film/album,Music director,co singers
Hey Mama,Sethupathi,Nivas K Prasanna,Anirudh Ravichandar
Rettai Kathirae,Maattrraan,Harris Jayaraj,Krish
Oru Oorla Rendu Raja,Oru Oorla Rendu Raja,D.Imman,Antony dasan
Sara Sara Saravedi,Idhu Kathirvelan Kadhal,Harris Jayaraj,"KK , Srilekha"
Kadal Naan Thaan,Endrendrum Punnagai,Harris Jayaraj,"Andreah Jerimiah , Bombay Jayashree"
Vellaikari,Irumbu Kottai Murattu Singam,G. V. Prakash Kumar,NSK Ramya
Enge poveno,Angadi Theru,Vijay Antony,Benny Dayal
Dhool Tucker,Dhool Tucker Single,L.V Ganesan,feat Prabhu Deva
Unnai Enni,Ayirathil Iruvar,Bharathwaj,
Sexy Lady,Ninaithale Inikkum,Vijay Antony,"NSK Ramya , Maya"
Suda Sudathan,"Nagaraja Cholan MA , MLA",James Vasanthan,
Poi Poi,Adhibar,Vikram Selva,Gaana Bala
Eecham pazham,Puriyadha Anandham Pudhidhaga Arambam,A. R. Reihana,A. R. Reihana
Un Tholil,Sonna Puriyathu,Yateesh Mahadev,
Ayyao Poche,Sonna Puriyathu,Yateesh Mahadev,
Thulle Rani,Super Cowboy ( Telugu ),G. V. Prakash Kumar,NSK Ramya
Dilamo Dilamo,Mahatma ( Telugu ),Vijay Antony,Sangeetha
Siru Siru,Markandeyan,Sundar C Babu,Swetha Mohan
Tuneega Tuneega,Tuneega Tuneega,Karthik Raja,
Ready Ready,Shiva poojayil Karadi,Sundar C Babu,Suchithra
