Soldier,Allegiance,Rank
Michael J. Novosel,United States of America,Lieutenant Colonel ( USAF ) Chief Warrant Officer ( USA )
Lothar Rendulic,Austria-Hungary Austria Nazi Germany Independent State of Croatia,Oberst ( Austria ) Generaloberst ( Germany )
Louis Cukela,United States of America,Major
Peter Tomich,United States of America,Chief Watertender ( Navy )
Matija Zmajević,Tsardom of Russia,Admiral
Rustem Pasha Opuković,Ottoman Empire,General
Piyale Pasha,Ottoman Empire,Grand Admiral and Vizier
Veli Mahmud Pasha,Ottoman Empire,General
Hersekzade Ahmed Pasha,Ottoman Empire,General
İshak Pasha,Ottoman Empire,General
Kuyucu Murat Pasha,Ottoman Empire,General
