Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Bohemians,Owen Heary,Owen Heary,Macron,Volkswagen
Bray Wanderers,Pat Devlin,Danny O'Connor,Adidas,Volkswagen
Cork City,Tommy Dunne Stuart Ashton/Paul O Brien,Kevin Murray,Umbro,Clonakilty Blackpudding
Derry City,Declan Devine,Kevin Deery,Umbro,Diamond Corrugated
Drogheda United,Mick Cooke,Derek Prendergast,Nike,Scotch Hall Shopping Center
Dundalk,Stephen Kenny,Stephen O'Donnell,Umbro,Fyffes
Limerick,Stuart Taylor,Joe Gamble,Macron,Greenheat Group
Shamrock Rovers,Trevor Croly,Patrick Sullivan,Umbro,SEAT
Shelbourne,John McDonnell,Ian Ryan,Macron,Volkswagen
Sligo Rovers,Ian Baraclough,Danny Ventre,Umbro,Volkswagen
St Patrick 's Athletic,Liam Buckley,Conor Kenna,Umbro,Clune Construction LP
UCD,Martin Russell,Mick Leahy,O'Neills,O'Neills
