Community,Airport name,Type,ICAO,IATA
Alice Springs,Alice Springs Airport,Public,YBAS,ASP
Angurugu,Groote Eylandt Airport,Public,YGTE,GTE
Batchelor,Batchelor Airfield,Military/Public,YBCR,
Borroloola,Borroloola Airport,Public,YBRL,BOX
Coomalie Creek,Coomalie Creek Airfield,Military,,
Croker Island,Croker Island Airport,Public,YCKI,CKI
Daguragu Community,Kalkgurung Airport,Public,YKKG,KFG
Elcho Island,Elcho Island Airport,Public,YELD,ELC
Gapuwiyak,Lake Evella Airport,Public,YLEV,LEL
Katherine,RAAF Base Tindal,Military/Public,YPTN,KTR
Lajamanu,Hooker Creek Airport,Public,YHOO,HOK
Maningrida,Maningrida Airport,Public,YMGD,MNG
"Marrara , Darwin",RAAF Base Darwin,Military,YPDN,DRW
"Marrara , Darwin",Darwin International Airport,Public,YPDN,DRW
McArthur River zinc mine,McArthur River Mine Airport,Private,YMHU,MCV
"Milikapiti , Melville Island",Snake Bay Airport,Public,YSNB,SNB
Milingimbi Island,Milingimbi Airport,Public,YMGB,MGT
Nhulunbuy,Gove Airport,Public,YPGV,GOV
"Noonamah , Darwin",Hughes Airfield,Military,,
"Pirlangimpi , Melville Island",Garden Point Airport,Public,YGPT,GPN
