Title,Year,Size,Location
Christ in the House of Martha and Mary,1654-55 or c. 1654-56 or c. 1655,"Oil on canvas , 160 × 142 cm","National Gallery of Scotland , Edinburgh"
Diana and Her Companions,1655-56 or c. 1653-54,"Oil on canvas , 98.5 × 105 cm","Mauritshuis , The Hague"
The Procuress,1656 ( signed and dated ),"Oil on canvas , 143 × 130 cm","Gemäldegalerie Alte Meister , Dresden"
Girl Reading a Letter at an Open Window ( also known as Young Woman Reading a Letter at an Open Window ),1657 ( or c. 1657-59 ),"Oil on canvas , 83 × 64.5 cm","Gemäldegalerie Alte Meister , Dresden"
A Girl Asleep ( also known as A Maid Asleep ),1657 ( or 1656-57 ),"Oil on canvas , 87.6 × 76.5 cm","Metropolitan Museum of Art , New York"
The Little Street,1657-58 or c. 1658 or c. 1658-60,"Oil on canvas , 54.3 × 44 cm","Rijksmuseum , Amsterdam"
Officer with a Laughing Girl ( also known as Officer and Laughing Girl ),c. 1657,"Oil on canvas , 50.5 × 46 cm","Frick Collection , New York"
The Milkmaid,c. 1658 or c. 1657-58,"Oil on canvas , 45.5 × 41 cm","Rijksmuseum , Amsterdam"
"The Wine Glass , also known as A Lady Drinking and a Gentleman and The Glass of Wine",1658-60 or 1658-59,"Oil on canvas , 39.4 × 44.5 cm","Gemäldegalerie , Berlin"
The Girl with the Wineglass,c. 1659,"Oil on canvas , 78 × 67.5 cm","Herzog Anton-Ulrich-Museum , Braunschweig"
View of Delft,1659-60,"Oil on canvas , 98.5 × 117.5 cm","Mauritshuis , The Hague"
Girl Interrupted at Her Music,1660-61 ( or 1658-59 ),"Oil on canvas , 39.4 × 44.5 cm","Frick Collection , New York"
Woman Reading a Letter,1663-64 ( or 1657-59 ),"Oil on canvas , 46.6 × 39.1 cm","Rijksmuseum , Amsterdam"
The Music Lesson ( also known as A Lady at the Virginals with a Gentleman ),1662/65,"Oil on canvas , 73.3 × 64.5 cm","Royal Collection , Buckingham Palace , England"
Woman with a Lute,c. 1663-64 or 1662-63,"Oil on canvas , 51.4 × 45.7 cm","Metropolitan Museum of Art , New York"
Woman with a Pearl Necklace,1662-64,"Oil on canvas , 55 × 45 cm","Gemäldegalerie , Berlin"
"Woman with a Water Jug , also known as Young Woman with a Water Pitcher",1660-62 or c. 1662,"Oil on canvas , 45.7 × 40.6 cm","Metropolitan Museum of Art , New York"
"Woman Holding a Balance , also known as Woman with a Balance",1662-63 or c. 1663-64,"Oil on canvas , 42.5 × 38 cm","National Gallery of Art , Washington"
A Lady Writing a Letter,1665-66,"Oil on canvas , 45 × 40 cm","National Gallery of Art , Washington"
"Girl with a Pearl Earring , also known as Girl In A Turban , Head Of Girl In A Turban , The Young Girl With Turban , and Head of a Young Girl",c. 1665,"Oil on canvas , 46.5 × 40 cm","Mauritshuis , The Hague"
