Year,Time,Athlete,Location
1966,13.47,Willie Davenport ( USA ),New York City
1967,13.43,Earl McCullouch ( USA ),Minneapolis
1968,13.33,Willie Davenport ( USA ),Mexico City
1969,13.45,Willie Davenport ( USA ) Leon Coleman ( USA ),Miami
1970,13.42,Thomas Hill ( USA ),Bakersfield
1971,13.46,Rod Milburn ( USA ),Cali
1972,13.24,Rod Milburn ( USA ),Munich
1973,13.41,Rod Milburn ( USA ),Zürich
1974,13.40,Guy Drut ( FRA ),Rome
1975,13.28,Guy Drut ( FRA ),Saint-Étienne
1976,13.30,Guy Drut ( FRA ),Montreal
1977,13.21,Alejandro Casañas ( CUB ),Sofia
1978,13.22,Greg Foster ( USA ),Eugene
1979,13.00,Renaldo Nehemiah ( USA ),Westwood
1980,13.21,Renaldo Nehemiah ( USA ),Zürich
1981,12.93,Renaldo Nehemiah ( USA ),Zürich
1982,13.22,Greg Foster ( USA ),Koblenz
1983,13.11,Greg Foster ( USA ),Westwood
1984,13.15,Greg Foster ( USA ),Zürich
1985,13.14,Roger Kingdom ( USA ),Modesto
