Year,Title,Role
1999,It 's the Rage,Janice Taylor
2001,The Glass House,Girl
2001,Bandits,Claire / Pink Boots
2002,Taboo,Elizabeth
2002,Full Frontal,Tracy
2003,Anger Management,Gina
2003,American Wedding,Cadence Flaherty
2003,Love Actually,Jeannie
2004,Dirty Dancing : Havana Nights,Eve
2005,The Three Burials of Melquiades Estrada,Lou Ann Norton
2006,Swedish Auto,Darla
2006,We Are Marshall,Carole Dawson
2009,The Boat That Rocked,Elenore
2011,Unknown,Elizabeth Harris
2011,X-Men : First Class,Emma Frost
2011,Seeking Justice,Laura Gerard
2013,Sweetwater,Sarah Ramírez
2014,Good Kill,Molly Egan
2015,Unity,Narrator ( voice )
