Name,Nationality,Years
Eduardo Chozas,Spain,1989-1991
Anselmo Fuerte,Spain,1990-1992
Marino Lejarreta,Spain,1990-1992
Melchior Mauri,Spain,"1990-1992 , 1995-1998"
Juan Llaneras,Spain,1991-1995
Alex Zülle,Switzerland,1991-1997
Johan Bruyneel,Belgium,"1992-1995 , 1998"
Laurent Jalabert,France,1992-2000
Erik Breukink,Netherlands,1993-1995
Laurent Dufaux,Switzerland,1993-1994
David Etxebarria,Spain,"1994-2000 , 2005-2006"
Patrick Jonker,Australia,1995-1996
Íñigo Cuesta,Spain,1996-2000
Mikel Zarrabeitia,Spain,1996-2003
Carlos Sastre,Spain,1997-2001
José Ivan Gutierrez,Spain,1999-2001
Peter Luttenberger,Austria,1999-2000
Isidro Nozal,Spain,1999-2006
Abraham Olano,Spain,1999-2002
David Arroyo,Spain,2001-2003
