Position,Name,School,ABCA,BA,CB
Pitcher,Mark Redman,Oklahoma,Y,Y,Y
Pitcher,Ted Silva,Cal State Fullerton,Y,Y,Y
Pitcher,Matt Morris,Seton Hall,Y,Y,-
Pitcher,Scott Winchester,Clemson,Y,-,Y
Pitcher,Ryan Halla,Auburn,Y,-,-
Pitcher,Jonathan Johnson,Florida State,-,Y,-
Pitcher,Kyle Peterson,Stanford,-,Y,-
Pitcher,Jamey Price,Mississippi,-,-,Y
Pitcher,Jay Tessmer,Miami,-,-,Y
Pitcher,Evan Thomas,FIU,-,-,Y
Catcher,A.J . Hinch ( 2 ),Stanford,-,Y,Y
Catcher,Shane Gunderson,Minnesota,Y,-,-
First baseman,Steve Hacker,Missouri State,Y,-,Y
Second baseman,Jason Totman,Texas Tech,Y,-,Y
Second baseman,Marlon Anderson,South Alabama,-,Y,-
Third baseman,Clint Bryant,Texas Tech,-,Y,Y
Third baseman,Toby Kominek,Central Michigan,Y,-,-
Shortstop,Gabe Alvarez,USC,Y,-,-
Shortstop,Mark Bellhorn,Auburn,Y,-,-
Shortstop,Jason Adams,Wichita State,-,-,Y
