Name,Height,Type,Country,River,Year completed
Jinping-I Dam,"305 m ( 1,001 ft )",Concrete arch,China,Yalong,2013
Nurek Dam,300 m ( 980 ft ),"Embankment , earth-fill",Tajikistan,Vakhsh,1980
Xiaowan Dam,292 m ( 958 ft ),Concrete arch,China,Lancang,2010
Xiluodu Dam,285.5 m ( 937 ft ),Concrete arch,China,Jinsha River,2013
Grande Dixence Dam,285 m ( 935 ft ),Concrete gravity,Switzerland,Dixence,1964
Enguri Dam,271.5 m ( 891 ft ),Concrete arch,Georgia,Enguri,1987
Yusufeli Dam,270 m ( 890 ft ),"Arch , double-curvature",Turkey,Çoruh River,2018
Vajont Dam ( disused ),261.6 m ( 858 ft ),Concrete arch,Italy,Vajont,1959
Nuozhadu Dam,261.5 m ( 858 ft ),Embankment,China,Lancang River,2012
Manuel Moreno Torres ( Chicoasén ) Dam,261 m ( 856 ft ),"Embankment , earth-fill",Mexico,Grijalva River,1980
Tehri Dam,260.5 m ( 855 ft ),"Embankment , earth-fill",India,Bhagirathi,2006
Mauvoisin Dam,250 m ( 820 ft ),Concrete arch,Switzerland,Bagnes,1957
Laxiwa Dam,250 m ( 820 ft ),Concrete arch,China,Yellow River,2009
Deriner Dam,249 m ( 817 ft ),Concrete double-arch,Turkey,Çoruh River,2012
Alberto Lleras ( Guavio ) Dam,243 m ( 797 ft ),"Embankment , rock-fill",Colombia,Guavio River,1989
Mica Dam,243 m ( 797 ft ),"Embankment , earth-fill",Canada,Columbia River,1973
Gilgel Gibe III Dam,243 m ( 797 ft ),Roller-compacted concrete gravity,Ethiopia,Omo River,2015
Sayano Shushenskaya Dam,242 m ( 794 ft ),Concrete arch-gravity,Russia,Yenisei River,1985
Ertan Dam,240 m ( 790 ft ),Concrete arch-gravity,China,Yalong River,1999
Changheba Dam,240 m ( 790 ft ),"Embankment , concrete-face rock-fill",China,Dadu River,2016
