#,Stadium,Capacity,City,Home team
1,Estadio Centenario,"60,235",Montevideo,Uruguay
2,Estadio Campeón del Siglo,"40,000",Montevideo,Club Atlético Peñarol
3,Estadio Gran Parque Central,"34,000",Montevideo,Club Nacional de Football
4,Estadio Atilio Paiva Olivera,"27,135",Rivera,Selección de fútbol de Rivera
5,Estadio Luis Tróccoli,"25,000",Montevideo,CA Cerro
,Estadio Parque Artigas,"25,000",Paysandú,Paysandú Bella Vista and Paysandú F.C
7,Estadio Domingo Burgueño,"22,000",Maldonado,Deportivo Maldonado
8,Estadio Luis Franzini,"18,000",Montevideo,Defensor Sporting
,Jardines del Hipódromo,"18,000",Montevideo,Danubio
10,Estadio José Nasazzi,"15,000",Montevideo,Club Atlético Bella Vista
11,Estadio Charrúa,"14,000",Montevideo,Uruguay ( alternate stadium )
12,Estadio Goyenola,"12,000",Tacuarembó,Tacuarembó FC
,Estadio Parque Artigas Las Piedras,"12,000",Las Piedras,Juventud LP
14,Estadio Viera,"11,000",Montevideo,Montevideo Wanderers FC
15,Estadio Complejo Rentistas,"10,600",Montevideo,CA Rentistas
16,Estadio Belvedere,"10,000",Montevideo,Liverpool FC
,Estadio Municipal Doctor Mario Sobrero,"10,000",Rocha,Rocha Fútbol Club
,Estadio Parque Capurro,"10,000",Montevideo,Fénix
19,Estadio Olimpico,"9,500",Montevideo,Rampla Juniors FC
20,Estadio Arquitecto Antonio Eleuterio Ubilla,"9,000",Melo,Cerro Largo FC
