Origin,2007,2006,Article
Armenia,"9,582","9,365",Armenians in Spain
Georgia,"7,355","6,284",
Philippines,"54,385","51,368",Filipinos in Spain
South Korea,"22,465","13,144",Koreans in Spain
India,"21,296","23,296",
Bangladesh,"6,480","6,130",
Iran,"12,334","4,568",Iranians in Spain
Iraq,880,"1,706",Iraqi people in Spain
Israel,"1,713","2,427",
Japan,"11,636","7,684",Japanese Spaniards
Jordan,"1,088","2,082",Jordanian people in Spain
Lebanon,"6,250","2,750",Lebanese people in Spain
Syria,"6,129","4,575",Syrian people in Spain
Turkey,"1,758","1,656",Turks in Spain
Rest of Asian countries,"6,430","2,517",
TOTAL,219.843,,
