Community,Airport name,TC LID
Bell Island,Bell Island Airport,CCV4
Black Tickle,Black Tickle Airport,CCE4
Botwood,Exploits Valley ( Botwood ) Airport,CCP2
Burgeo,Burgeo ( Calder Health Care Corp ) Heliport,CBC9
Cartwright,Cartwright Airport,
Charlottetown,Charlottetown Airport,CCH4
Churchill Falls,Churchill Falls Airport,
Clarenville,Clarenville Airport,CCZ3
Conne River,Conne River Water Aerodrome,CCR8
Deer Lake,Deer Lake Regional Airport,
Fogo,Fogo Aerodrome,CDY3
Foxtrap,Long Pond Heliport,CCX2
Gander,Gander International Airport,
Gander,Gander ( James Paton Memorial Regional Health Centre ) Heliport,CGH2
Grand Falls-Windsor,Grand Falls-Windsor Heliport,CFW8
Happy Valley-Goose Bay,CFB Goose Bay ( Goose Bay Airport ),
Happy Valley-Goose Bay,Goose ( Otter Creek ) Water Aerodrome,CCB5
Harbour Grace,Harbour Grace Airport,CHG2
Hopedale,Hopedale Airport,
Makkovik,Makkovik Airport,
