Award,Created,Description,Current holder
General Manager of the Year,2016,The General Manager of the Year is determined in a vote of the ECHL coaches,Rob Murray Tulsa Oilers ( 2019 )
Executive of the Year,1993,The Executive of the Year is determined in a vote of the ECHL Board of Governors,Neil Neukam Toledo Walleye ( 2019 )
Media Relations Director of the Year,1997,The Media Relations Director of the Year is determined in a vote of the ECHL media relations directors and broadcasters,Joe Roberts Kalamazoo Wings ( 2018 )
Broadcaster of the Year,2002,The Broadcaster of the Year is determined in a vote of the ECHL broadcasters and media relations directors,John Peterson Tulsa Oilers ( 2019 )
Excellence In Marketing,1997,The Excellence In Marketing Award is presented annually to the team marketing department adjudged to be the best in the league as determined by outside expert judges,Cincinnati Cyclones ( 2018 )
Award of Excellence,2004,"The Award of Excellence will be presented by the league office to teams that are first-rate , who excel in all categories of sales and marketing , and who distinguish themselves in their community , both on and off the ice",South Carolina Stingrays ( 2019 )
Ticket Department of the Year,2003,The ECHL Ticket Department of the Year is determined in a vote of ECHL teams,Norfolk Admirals ( 2019 )
Ticket Executive of the Year,2003,The Ticket Executive of the Year is determined in a vote of the ECHL general managers,Andrew Nawn Worcester Railers ( 2018 )
Website of the Year,2005,The ECHL Web Site of the Year award is presented annually to the team whose web site is adjudged to be the best in the league as determined by outside expert judges,Allen Americans ( 2018 )
Social Media Excellence,2016,"The social media Award of Excellence is presented to an ECHL Member Team who has exemplified the use of social media in the following categories ; scope of team reach ( how many forms of social media does the team utilize and number of followers ) , creative social content/campaigns , use of social media to achieve business goals and active engagement with fans",Indy Fuel ( 2018 )
Ryan Birmingham Memorial Award,2008,"Awarded to an On-Ice Official for his contributions and dedication to the league officiating staff and is determined in voting of ECHL On-Ice Officials . It is named in honor of ECHL linesman Ryan Birmingham , who was killed in an automobile accident in May 2007",Patrick Richardson ( 2019 )
Equipment Manager of the Year,2003,The In Glas Co Equipment Manager of the Year Award is determined in a vote of ECHL equipment managers,Jason MacDonald Reading Royals ( 2019 )
Athletic Trainer of the Year,2008,The Sports Health Athletic Trainer of the Year Award is determined in a vote of ECHL athletic trainers,Nick Potter Kansas City Mavericks ( 2019 )
Outstanding Media,2003,"The Outstanding Media Award is determined in a vote of the ECHL media members , broadcasters , and media relations directors","Jordan Strack , WTOL Toledo Walleye ( 2019 )"
