System,Locale,Major city ( s )
BurLink,Burlington County,
Colonial Coach of Morristown,Morris County,Morristown
Kearny Commuter Shuttle,Hudson County,Kearny and Harrison
The Link/Flemington Shuffle Service,Hunterdon County,Flemington and Raritan Township
Middlesex County Area Transit ( MCAT ),Middlesex County,
New Jersey Transit,New Jersey ( statewide ) with service to Manhattan and Philadelphia,
Parsippany Free Transit System,Morris County,"Parsippany , New Jersey"
Princeton Free B,Mercer County,Princeton
Princeton Junction Shuttle,Mercer County,East Windsor Township and Hightstown
Route 57 Shuttle,Warren County,
Route 130 Connection Shuttle,Mercer County,
Somerset County Public Transit,Somerset County,
Sussex County Skylands Ride,Sussex County,
Vernon Area Shuttle,Sussex County,"Vernon , New Jersey"
West Milford Bus,Passaic County,West Milford
