Year,Title,Role
1993-94,The Untouchables,Mae Capone
1994,Law & Order,Angel Monroe
1997,The Practice,Sarah Fisher
1997,The Drew Carey Show,Amy
1998,Poky and Friends,Shy Little Kitten ( voice )
1999,Rugrats,Freddie ( voice )
2000,Charmed,Marcie Steadwell ( voice )
2000,NYPD Blue,Lucy Sperling
2001-04,Stanley,Elsie ( voice )
2002,Static Shock,Maureen Connor / Permafrost ( voice )
2002-08,ChalkZone,Penny Sanchez ( voice )
2003,Gary the Rat,Little Girl ( voice )
2003-05,Justice League,Ace ( voice )
2003-06,Teen Titans,"Starfire , Blackfire , Madame Rouge , Argent ( voices )"
2005,Justice League Unlimited,Ace ( voice )
2005-06,Immortal Grand Prix,Amy Stapleton ( voice )
2005-06,Super Robot Monkey Team Hyperforce Go !,Valina ( voice )
2006,Catscratch,Katilda ( voice )
2006-07,American Dragon : Jake Long,"Fury , Euryale , Medusa ( voices )"
2007,Random ! Cartoons,Ms . Chic / Olympia ( voices )
