Season,Winner,Runner-up,Third
1984,Venera Chernyshova ( USSR ),Liudmila Zabolotnaya ( USSR ),Tatiana Brylina ( USSR )
1985,Kaija Parve ( USSR ),Sanna Grønlid ( NOR ),Eva Korpela ( SWE )
1986,Eva Korpela ( SWE ),Siv Bråten ( NOR ),Sanna Grønlid ( NOR )
1987,Sanna Grønlid ( NOR ),Kaija Parve ( USSR ),Tuija Vuoksiala ( FIN )
1988,Anne Elvebakk ( NOR ),Elin Kristiansen ( NOR ),Venera Chernyshova ( USSR )
1989,Petra Schaaf ( FRG ),Anne Elvebakk ( NOR ),Svetlana Davidova ( USSR )
1990,Svetlana Davidova ( USSR ),Elena Golovina ( USSR ),Petra Schaaf ( FRG )
1991,Petra Schaaf ( GER ),Grete Ingeborg Nykkelmo ( NOR ),Iva Schkodreva ( BUL )
1993,Petra Schaaf ( GER ) ( 3 ),Myriam Bédard ( CAN ),Svetlana Paramygina ( BLR )
1995,Corinne Niogret ( FRA ),Uschi Disl ( GER ),Ekaterina Dafovska ( BUL )
1996,Emmanuelle Claret ( FRA ),Olga Melnik ( RUS ),Olena Petrova ( UKR )
1997,Magdalena Forsberg ( SWE ),Olena Zubrilova ( UKR ),Ekaterina Dafovska ( BUL )
1999,Olena Zubrilova ( UKR ),Corinne Niogret ( FRA ),Albina Akhatova ( RUS )
2000,Corinne Niogret ( FRA ),Shumei Yu ( CHN ),Magdalena Forsberg ( SWE )
2001,Magdalena Forsberg ( SWE ),Liv Grete Poirée ( NOR ),Olena Zubrilova ( UKR )
2003,Kateřina Holubcová ( CZE ),Olena Zubrilova ( BLR ),Gunn Margit Andreassen ( NOR )
2004,Olga Pyleva ( RUS ),Albina Akhatova ( RUS ),Olena Petrova ( UKR )
2005,Andrea Henkel ( GER ),Ribo Sun ( CHN ),Linda Tjørhom ( NOR )
2007,Linda Grubben ( NOR ),Florence Baverel-Robert ( FRA ),Martina Glagow ( GER )
2008,Ekaterina Iourieva ( RUS ),Martina Glagow ( GER ),Oksana Khvostenko ( UKR )
