Club,League/Division,Lvl,State,City
Macarthur Rams,National Premier Leagues NSW 3,4,New South Wales,Sydney
Mackay & Whitsundays Magpies Crusaders United,National Premier Leagues Queensland,2,Queensland,Mackay
Maidstone United,Victorian State League Division 5,8,Victoria,Melbourne
Maitland,National Premier Leagues Northern NSW,2,New South Wales,Maitland
Majura,State League Division 9,12,Australian Capital Territory,Canberra
Malvern City,Victorian State League Division 1,4,Victoria,Melbourne
Mandurah City,National Premier Leagues Western Australia,2,Western Australia,Mandurah
Manningham United,Victorian State League Division 1,4,Victoria,Melbourne
Manly United,National Premier Leagues NSW,2,New South Wales,Sydney
Marcellin Old Collegians,Victorian State League Division 4,7,Victoria,Melbourne
Marconi Stallions,National Premier Leagues NSW,2,New South Wales,Sydney
Maribyrnong Greens,Victorian State League Division 5,8,Victoria,Melbourne
Mazenod Victory,Victoria State League Division 2,5,Victoria,Melbourne
Mazenod United,Victorian State League Division 2,5,Victoria,Melbourne
Meadow Park,Victorian State League Division 5,8,Victoria,Melbourne
Melbourne City,A-League,1,Victoria,Melbourne
Melbourne City,Victorian State League Division 3,6,Victoria,Melbourne
Melbourne Knights,National Premier Leagues Victoria,2,Victoria,Melbourne
Melbourne Lions,Victorian State League Division 5,8,Victoria,Melbourne
Melbourne Victory,A-League,1,Victoria,Melbourne
